ELMNTKEY,UNITDESC,TOTAL_SPACES,PAID_SPACES,RPZ_SPACES,BUS,TOTAL_NOPARK,TOTAL_ZONES,PARKING_SPACES,WKD_RATE1,WKD_RATE2,SAT_RATE1,SAT_RATE2,PAIDAREA,PARKING_TIME_LIMIT,START_TIME_WKD,END_TIME_WKD,START_TIME_SAT,END_TIME_SAT,PRIMARYDISTRICTCD
1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,41,26,0,0,15,0,26,0.5,1,0.5,1,University District,240,08AM,06PM,08AM,06PM,DISTRICT4
47225,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,13,6,0,0,6,1,6,0.5,2,0.5,2,University District,120,08AM,08PM,08AM,08PM,DISTRICT4
24041,1ST AVE BETWEEN BELL ST AND BATTERY ST,25,12,0,0,11,3,11,0.5,1,0.5,1,Belltown,240,08AM,08PM,08AM,08PM,DISTRICT7
70750,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,15,10,0,0,3,3,9,0.5,2.5,0.5,2.5,Belltown,120,08AM,08PM,08AM,08PM,DISTRICT7
53138,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,24,18,0,0,4,2,18,0.5,0.5,0.5,0.5,Uptown Triangle,600,08AM,10PM,08AM,10PM,DISTRICT7
30970,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,12,6,0,0,5,1,6,0.5,3,0.5,3,Denny Triangle,120,08AM,08PM,08AM,08PM,DISTRICT7
77317,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,23,5,3,0,14,5,4,0.5,1,0.5,1,Pike-Pine,120,08AM,10PM,08AM,10PM,DISTRICT3
10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,16,10,0,1,6,0,10,0.5,0.5,0.5,0.5,South Lake Union,600,08AM,06PM,08AM,06PM,DISTRICT3
33146,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,24,14,0,0,10,1,13,1.5,1.5,1.5,1.5,South Lake Union,600,08AM,06PM,08AM,06PM,DISTRICT7
94602,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,29,28,0,0,1,0,28,0.5,0.5,0.5,0.5,South Lake Union,120,08AM,06PM,08AM,06PM,DISTRICT3
57193,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,22,10,0,0,11,2,9,0.5,2.5,0.5,2.5,Denny Triangle,240,08AM,06PM,08AM,06PM,DISTRICT7
12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,16,9,0,0,7,0,9,0.5,0.5,0.5,0.5,South Lake Union,600,08AM,06PM,08AM,06PM,DISTRICT3
