,Time,Capcity,Naive Occupancy
0,800.0,28.0,0.286
1,801.0,28.0,0.286
2,802.0,28.0,0.321
3,803.0,28.0,0.321
4,804.0,28.0,0.321
5,805.0,28.0,0.321
6,806.0,28.0,0.321
7,807.0,28.0,0.357
8,808.0,28.0,0.357
9,809.0,28.0,0.357
10,810.0,28.0,0.393
11,811.0,28.0,0.393
12,812.0,28.0,0.393
13,813.0,28.0,0.393
14,814.0,28.0,0.393
15,815.0,28.0,0.393
16,816.0,28.0,0.393
17,817.0,28.0,0.429
18,818.0,28.0,0.429
19,819.0,28.0,0.429
20,820.0,28.0,0.429
21,821.0,28.0,0.429
22,822.0,28.0,0.429
23,823.0,28.0,0.429
24,824.0,28.0,0.429
25,825.0,28.0,0.429
26,826.0,28.0,0.464
27,827.0,28.0,0.464
28,828.0,28.0,0.5
29,829.0,28.0,0.5
30,830.0,28.0,0.5
31,831.0,28.0,0.5
32,832.0,28.0,0.5
33,833.0,28.0,0.5
34,834.0,28.0,0.5
35,835.0,28.0,0.5
36,836.0,28.0,0.5
37,837.0,28.0,0.5
38,838.0,28.0,0.5
39,839.0,28.0,0.5
40,840.0,28.0,0.5
41,841.0,28.0,0.5
42,842.0,28.0,0.5
43,843.0,28.0,0.5
44,844.0,28.0,0.5
45,845.0,28.0,0.5
46,846.0,28.0,0.5
47,847.0,28.0,0.5
48,848.0,28.0,0.536
49,849.0,28.0,0.536
50,850.0,28.0,0.536
51,851.0,28.0,0.536
52,852.0,28.0,0.536
53,853.0,28.0,0.536
54,854.0,28.0,0.536
55,855.0,28.0,0.536
56,856.0,28.0,0.536
57,857.0,28.0,0.536
58,858.0,28.0,0.536
59,859.0,28.0,0.571
60,900.0,28.0,0.571
61,901.0,28.0,0.571
62,902.0,28.0,0.571
63,903.0,28.0,0.571
64,904.0,28.0,0.607
65,905.0,28.0,0.607
66,906.0,28.0,0.643
67,907.0,28.0,0.643
68,908.0,28.0,0.643
69,909.0,28.0,0.643
70,910.0,28.0,0.643
71,911.0,28.0,0.643
72,912.0,28.0,0.643
73,913.0,28.0,0.643
74,914.0,28.0,0.643
75,915.0,28.0,0.643
76,916.0,28.0,0.643
77,917.0,28.0,0.679
78,918.0,28.0,0.679
79,919.0,28.0,0.679
80,920.0,28.0,0.679
81,921.0,28.0,0.679
82,922.0,28.0,0.679
83,923.0,28.0,0.714
84,924.0,28.0,0.714
85,925.0,28.0,0.714
86,926.0,28.0,0.714
87,927.0,28.0,0.714
88,928.0,28.0,0.714
89,929.0,28.0,0.714
90,930.0,28.0,0.714
91,931.0,28.0,0.714
92,932.0,28.0,0.714
93,933.0,28.0,0.714
94,934.0,28.0,0.714
95,935.0,28.0,0.714
96,936.0,28.0,0.714
97,937.0,28.0,0.714
98,938.0,28.0,0.714
99,939.0,28.0,0.714
100,940.0,28.0,0.714
101,941.0,28.0,0.679
102,942.0,28.0,0.679
103,943.0,28.0,0.679
104,944.0,28.0,0.679
105,945.0,28.0,0.679
106,946.0,28.0,0.679
107,947.0,28.0,0.679
108,948.0,28.0,0.679
109,949.0,28.0,0.643
110,950.0,28.0,0.643
111,951.0,28.0,0.643
112,952.0,28.0,0.643
113,953.0,28.0,0.643
114,954.0,28.0,0.643
115,955.0,28.0,0.643
116,956.0,28.0,0.643
117,957.0,28.0,0.643
118,958.0,28.0,0.643
119,959.0,28.0,0.643
120,1000.0,28.0,0.643
121,1001.0,28.0,0.643
122,1002.0,28.0,0.679
123,1003.0,28.0,0.679
