,True Occupancy
0,0.75
1,0.75
2,0.75
3,0.75
4,0.75
5,0.75
6,0.75
7,0.75
8,0.75
9,0.75
10,0.75
11,0.75
12,0.75
13,0.75
14,0.786
15,0.786
16,0.786
17,0.786
18,0.786
19,0.786
20,0.786
21,0.786
22,0.786
23,0.786
24,0.786
25,0.786
26,0.821
27,0.821
28,0.857
29,0.857
30,0.857
31,0.857
32,0.857
33,0.857
34,0.857
35,0.857
36,0.857
37,0.857
38,0.857
39,0.857
40,0.857
41,0.786
42,0.786
43,0.786
44,0.786
45,0.786
46,0.786
47,0.786
48,0.786
49,0.786
50,0.786
51,0.786
52,0.786
53,0.786
54,0.786
55,0.786
56,0.786
57,0.821
58,0.821
59,0.821
60,0.821
61,0.821
62,0.821
63,0.821
64,0.821
65,0.821
66,0.821
67,0.821
68,0.821
69,0.821
70,0.821
71,0.821
72,0.821
73,0.821
74,0.821
75,0.821
76,0.821
77,0.821
78,0.821
79,0.821
80,0.821
81,0.821
82,0.821
83,0.821
84,0.821
85,0.821
86,0.821
87,0.821
88,0.821
89,0.821
90,0.786
91,0.786
92,0.786
93,0.786
94,0.786
95,0.786
96,0.786
97,0.786
98,0.786
99,0.786
100,0.786
101,0.786
102,0.786
103,0.786
104,0.786
105,0.786
106,0.786
107,0.786
108,0.786
109,0.786
110,0.786
111,0.786
112,0.786
113,0.786
114,0.786
115,0.821
116,0.821
117,0.821
118,0.821
119,0.821
120,0.821
121,0.821
122,0.821
123,0.821
124,0.821
125,0.821
126,0.821
127,0.786
128,0.786
129,0.786
130,0.821
131,0.821
132,0.821
133,0.821
134,0.821
135,0.821
136,0.821
137,0.821
138,0.821
139,0.821
140,0.821
141,0.821
142,0.821
143,0.821
144,0.821
145,0.821
146,0.821
147,0.786
148,0.786
149,0.821
150,0.821
151,0.821
152,0.786
153,0.786
154,0.786
155,0.786
156,0.786
157,0.786
158,0.786
159,0.786
160,0.786
161,0.786
162,0.786
163,0.786
164,0.786
165,0.786
166,0.786
167,0.786
168,0.786
169,0.786
170,0.786
171,0.786
172,0.786
173,0.821
174,0.821
175,0.786
176,0.786
177,0.786
178,0.786
179,0.786
180,0.786
181,0.786
182,0.786
183,0.786
184,0.786
185,0.786
186,0.786
187,0.821
188,0.821
189,0.821
190,0.821
191,0.821
192,0.821
193,0.821
194,0.821
195,0.821
196,0.821
197,0.821
198,0.821
199,0.821
200,0.821
201,0.821
202,0.821
203,0.821
204,0.821
205,0.821
206,0.821
207,0.821
208,0.821
209,0.821
210,0.821
211,0.821
212,0.821
213,0.821
214,0.821
215,0.821
216,0.821
217,0.821
218,0.821
219,0.821
220,0.821
221,0.821
222,0.821
223,0.821
224,0.821
225,0.821
226,0.821
227,0.821
228,0.821
229,0.821
230,0.821
231,0.821
232,0.821
233,0.821
234,0.786
235,0.786
236,0.786
237,0.786
238,0.821
239,0.821
240,0.821
241,0.821
242,0.821
243,0.821
244,0.821
245,0.821
246,0.821
247,0.821
248,0.821
249,0.821
250,0.821
251,0.786
252,0.786
253,0.786
254,0.786
255,0.786
256,0.786
257,0.786
258,0.786
259,0.786
260,0.786
261,0.786
262,0.786
263,0.786
264,0.786
265,0.786
266,0.786
267,0.786
268,0.786
269,0.786
270,0.786
271,0.786
272,0.786
273,0.786
274,0.786
275,0.786
276,0.786
277,0.786
278,0.786
279,0.821
280,0.821
281,0.821
282,0.821
283,0.821
284,0.821
285,0.786
286,0.786
287,0.786
288,0.786
289,0.786
290,0.786
291,0.786
292,0.786
293,0.786
294,0.786
295,0.786
296,0.786
297,0.786
298,0.786
299,0.821
300,0.821
301,0.821
302,0.821
303,0.821
304,0.821
305,0.786
306,0.786
307,0.786
308,0.786
309,0.786
310,0.786
311,0.786
