,0
0,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/21
1,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/22
2,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/23
3,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/24
4,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/25
5,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/26
6,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/28
7,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/21
8,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/22
9,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/23
10,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/24
11,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/25
12,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/26
13,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/28
14,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/21
15,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/22
16,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/23
17,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/24
18,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/25
19,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/26
20,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/28
21,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/21
22,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/22
23,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/23
24,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/24
25,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/25
26,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/26
27,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/28
28,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/21
29,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/22
30,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/23
31,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/24
32,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/25
33,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/26
34,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/28
35,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/21
36,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/22
37,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/23
38,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/24
39,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/25
40,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/26
41,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/28
42,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/21
43,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/22
44,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/23
45,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/24
46,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/25
47,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/26
48,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/28
49,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/21
50,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/22
51,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/23
52,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/24
53,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/25
54,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/26
55,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/28
56,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/21
57,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/22
58,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/23
59,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/24
60,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/25
61,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/26
62,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/28
63,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/21
64,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/22
65,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/23
66,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/24
67,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/25
68,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/26
69,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/28
70,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/21
71,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/22
72,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/23
73,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/24
74,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/25
75,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/26
76,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/28
77,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/21
78,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/22
79,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/23
80,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/24
81,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/25
82,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/26
83,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/28
