,hour,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE BETWEEN BELL ST AND BATTERY ST,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,12,6,24,4,12,7,13,19,12,28,12
9,9,8,12,6,24,4,12,7,13,19,12,28,12
10,10,8,12,6,24,4,12,7,13,19,12,28,12
11,11,8,12,6,24,4,12,7,13,19,12,28,12
12,12,8,12,6,24,4,12,7,13,19,12,28,12
13,13,8,12,6,24,4,12,7,13,19,12,28,12
14,14,8,12,6,24,4,12,7,13,19,12,28,12
15,15,8,12,6,24,4,12,7,13,19,12,28,12
16,16,8,12,6,24,4,12,7,13,19,12,28,12
17,17,8,12,6,24,4,12,7,13,19,12,28,12
18,18,8,12,6,24,4,12,7,13,19,12,28,12
19,19,8,12,6,24,4,12,7,13,19,12,28,12
20,20,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,0,0,0
