11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1ST AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N
1.0,-0.14,-0.18,-0.26,0.61,-0.14,-0.57,0.59,-0.27,0.13,-0.39,0.6
-0.14,1.0,0.24,0.45,-0.33,0.3,0.45,-0.46,0.4,0.25,0.25,-0.48
-0.18,0.24,1.0,0.44,-0.26,-0.084,0.42,-0.32,0.28,-0.011,0.14,-0.34
-0.26,0.45,0.44,1.0,-0.34,0.31,0.47,-0.34,0.44,0.12,0.25,-0.36
0.61,-0.33,-0.26,-0.34,1.0,-0.016,-0.69,0.88,-0.31,0.25,-0.35,0.87
-0.14,0.3,-0.084,0.31,-0.016,1.0,0.23,0.014,0.39,0.051,0.3,-0.016
-0.57,0.45,0.42,0.47,-0.69,0.23,1.0,-0.68,0.5,0.022,0.34,-0.71
0.59,-0.46,-0.32,-0.34,0.88,0.014,-0.68,1.0,-0.36,0.087,-0.27,0.97
-0.27,0.4,0.28,0.44,-0.31,0.39,0.5,-0.36,1.0,0.13,0.19,-0.38
0.13,0.25,-0.011,0.12,0.25,0.051,0.022,0.087,0.13,1.0,-0.018,0.048
-0.39,0.25,0.14,0.25,-0.35,0.3,0.34,-0.27,0.19,-0.018,1.0,-0.31
0.6,-0.48,-0.34,-0.36,0.87,-0.016,-0.71,0.97,-0.38,0.048,-0.31,1.0
