,period,study_area,sub_area,area_subarea,parking_transaction_date_time,paymen_tmean,transaction_amount,paidduration_in_minutes,source_element_key
0,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 16:23,PHONE,0.04,5,1433
1,Morning,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/25/2022 8:00,PHONE,0.98,118,10165
2,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:00,CREDIT CARD,2,240,1433
3,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 9:29,PHONE,0.5,60,1433
4,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 9:29,PHONE,0.33,40,94602
5,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 17:20,PHONE,1,120,47225
6,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 11:27,PHONE,1,120,94602
7,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 9:29,CREDIT CARD,1.24,120,47225
8,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 8:00,PHONE,1,120,30970
9,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 10:29,PHONE,0.25,30,1433
10,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 14:21,CREDIT CARD,2,120,47225
11,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 16:25,PHONE,4.54,120,53137
12,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 9:31,PHONE,1,120,94602
13,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 16:25,CREDIT CARD,0.5,39,47225
14,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 16:25,CREDIT CARD,0.25,15,47225
15,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 18:28,PHONE,0.77,92,47225
16,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 10:30,PHONE,5.5,240,57193
17,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 19:30,PHONE,0.25,30,47225
18,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 9:32,PHONE,2,240,1433
19,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:01,PHONE,3.02,240,57193
20,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 13:24,PHONE,1,120,1433
21,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 12:24,PHONE,0.5,60,1433
22,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:01,PHONE,2,240,1433
23,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 15:23,CREDIT CARD,0.5,60,24041
24,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 12:24,PHONE,1,120,94602
25,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 11:30,PHONE,0.38,15,57193
26,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:01,PHONE,2,240,1433
27,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 17:23,PHONE,0.21,25,24041
28,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 13:24,CREDIT CARD,1.5,180,53137
29,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 8:02,PHONE,2,240,24041
30,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 12:25,PHONE,1,120,94602
31,Evening,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 17:24,PHONE,0.9,36,57193
32,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:02,PHONE,0.75,90,57194
33,Morning,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 10:33,PHONE,3.33,120,70750
34,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 10:33,PHONE,1.05,60,57193
35,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 14:24,CREDIT CARD,1.81,216,1433
36,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 8:02,PHONE,0.25,30,24042
37,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:02,PHONE,3.03,240,57194
38,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 14:25,PHONE,0.5,60,24041
39,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:02,PHONE,1,120,94602
40,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:02,PHONE,1,120,94602
41,Morning,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/25/2022 8:02,PHONE,3,360,10165
42,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:02,PHONE,0.75,90,57193
43,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 11:32,PHONE,2,240,1433
44,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 16:29,PHONE,0.76,91,94602
45,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 10:34,CREDIT CARD,5.57,240,57194
46,Morning,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/25/2022 10:35,PHONE,1,120,10165
47,Morning,South Lake Union,North,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,3/25/2022 8:02,PHONE,3.25,390,12682
48,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 8:02,PHONE,0.5,60,47225
