,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1ST AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N
2022-03-21 08:00:00,0.464,0.286,0.25,0.625,-0.31599999999999995,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.384,0.25
2022-03-21 08:01:00,0.464,0.286,0.25,0.625,-0.31599999999999995,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.384,0.25
2022-03-21 08:02:00,0.429,0.143,0.25,0.625,-0.3690000000000001,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.23099999999999998,0.16700000000000004
2022-03-21 08:03:00,0.429,0.143,0.25,0.625,-0.3690000000000001,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.15400000000000003,0.16700000000000004
2022-03-21 08:04:00,0.429,0.143,0.25,0.625,-0.3690000000000001,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.15400000000000003,0.08299999999999996
2022-03-21 08:05:00,0.429,0.143,0.25,0.625,-0.42100000000000015,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.07699999999999996,0.08299999999999996
2022-03-21 08:06:00,0.429,0.143,0.25,0.625,-0.42100000000000015,0.75,0.667,0.41700000000000004,0.084,0.29100000000000004,0.07699999999999996,0.08299999999999996
2022-03-21 08:07:00,0.393,0.143,0.25,0.625,-0.42100000000000015,0.75,0.667,0.41700000000000004,0.084,0.25,0.07699999999999996,0.08299999999999996
2022-03-21 08:08:00,0.393,0.143,0.25,0.625,-0.42100000000000015,0.75,0.667,0.41700000000000004,0.084,0.20800000000000002,0.07699999999999996,0.08299999999999996
2022-03-21 08:09:00,0.393,0.143,0.25,0.625,-0.4740000000000001,0.75,0.667,0.41700000000000004,0.084,0.20800000000000002,0.0,0.08299999999999996
2022-03-21 08:10:00,0.357,0.143,0.25,0.625,-0.4740000000000001,0.75,0.667,0.41700000000000004,0.084,0.20800000000000002,0.0,0.08299999999999996
2022-03-21 08:11:00,0.357,0.143,0.25,0.625,-0.4740000000000001,0.75,0.667,0.41700000000000004,0.084,0.20800000000000002,-0.07700000000000007,0.08299999999999996
2022-03-21 08:12:00,0.357,0.143,0.25,0.625,-0.4740000000000001,0.75,0.667,0.41700000000000004,0.084,0.20800000000000002,-0.15400000000000003,0.08299999999999996
2022-03-21 08:13:00,0.357,0.143,0.33399999999999996,0.625,-0.527,0.75,0.667,0.41700000000000004,0.084,0.20800000000000002,-0.15400000000000003,0.08299999999999996
2022-03-21 08:14:00,0.393,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.20800000000000002,-0.15400000000000003,0.08299999999999996
2022-03-21 08:15:00,0.393,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.16699999999999998,-0.23099999999999998,0.08299999999999996
2022-03-21 08:16:00,0.393,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.16699999999999998,-0.23099999999999998,0.08299999999999996
2022-03-21 08:17:00,0.35700000000000004,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.125,-0.23099999999999998,0.08299999999999996
2022-03-21 08:18:00,0.35700000000000004,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.125,-0.23099999999999998,0.08299999999999996
2022-03-21 08:19:00,0.35700000000000004,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.125,-0.23099999999999998,0.08299999999999996
2022-03-21 08:20:00,0.35700000000000004,0.143,0.24999999999999997,0.625,-0.527,0.75,0.667,0.33299999999999996,0.084,0.125,-0.23099999999999998,0.08299999999999996
2022-03-21 08:21:00,0.35700000000000004,0.143,0.24999999999999997,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.125,-0.23099999999999998,0.08299999999999996
2022-03-21 08:22:00,0.35700000000000004,0.143,0.24999999999999997,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.23099999999999998,0.08299999999999996
2022-03-21 08:23:00,0.35700000000000004,0.143,0.16699999999999998,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.23099999999999998,0.08299999999999996
2022-03-21 08:24:00,0.35700000000000004,0.28600000000000003,0.16699999999999998,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.23099999999999998,0.08299999999999996
2022-03-21 08:25:00,0.35700000000000004,0.28600000000000003,0.16699999999999998,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:26:00,0.35699999999999993,0.14300000000000002,0.16699999999999998,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:27:00,0.35699999999999993,0.14300000000000002,0.16699999999999998,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:28:00,0.357,0.14300000000000002,0.16699999999999998,0.5,-0.527,0.75,0.667,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:29:00,0.357,0.14300000000000002,0.16699999999999998,0.5,-0.527,0.75,0.833,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:30:00,0.357,0.14300000000000002,0.16699999999999998,0.5,-0.527,0.75,0.833,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:31:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:32:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.33299999999999996,0.084,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:33:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.25,0.084,0.125,-0.15399999999999991,0.08299999999999996
2022-03-21 08:34:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.25,0.0,0.125,-0.15399999999999991,0.08299999999999996
2022-03-21 08:35:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.25,0.0,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:36:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.25,0.0,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:37:00,0.357,0.14300000000000002,0.24999999999999997,0.5,-0.4740000000000001,0.75,0.833,0.25,0.0,0.08300000000000002,-0.15399999999999991,0.08299999999999996
2022-03-21 08:38:00,0.357,0.14300000000000002,0.33299999999999996,0.5,-0.4740000000000001,0.75,0.667,0.25,0.0,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:39:00,0.357,0.14300000000000002,0.33299999999999996,0.5,-0.4740000000000001,0.75,0.667,0.25,0.0,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:40:00,0.357,0.14300000000000002,0.33299999999999996,0.5,-0.4740000000000001,0.75,0.667,0.25,0.0,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:41:00,0.28600000000000003,0.0,0.33299999999999996,0.5,-0.4740000000000001,0.75,0.667,0.25,0.084,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:42:00,0.28600000000000003,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.25,0.084,0.041000000000000036,-0.15399999999999991,0.0
2022-03-21 08:43:00,0.28600000000000003,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.25,0.084,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:44:00,0.28600000000000003,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.25,0.16699999999999998,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:45:00,0.28600000000000003,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.25,0.084,0.08300000000000002,-0.15399999999999991,0.0
2022-03-21 08:46:00,0.28600000000000003,0.0,0.4159999999999999,0.375,-0.4740000000000001,0.5,0.667,0.25,0.084,0.125,-0.15399999999999991,0.0
2022-03-21 08:47:00,0.28600000000000003,0.0,0.4159999999999999,0.375,-0.4740000000000001,0.5,0.667,0.25,0.16699999999999998,0.125,-0.15399999999999991,0.0
2022-03-21 08:48:00,0.25,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.25,0.084,0.125,-0.15399999999999991,0.0
2022-03-21 08:49:00,0.25,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.16700000000000004,0.084,0.125,-0.15399999999999991,0.0
2022-03-21 08:50:00,0.25,0.0,0.33299999999999996,0.375,-0.4740000000000001,0.5,0.667,0.16700000000000004,0.084,0.08300000000000002,-0.15399999999999991,0.0
