"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Location","Location Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Paid","Paid Date Modified UTC","ADA Placard","ADA Placard Date Modified UTC","City, Service Vehicle","City, Service Vehicle Date Modified UTC","Double Parked Car","Double Parked Car Date Modified UTC","Double Parked Truck","Double Parked Truck Date Modified UTC","Notes","Notes Date Modified UTC","Data Entry Complete","Data Entry Complete Date Modified UTC","Picture","Picture Date Modified UTC"
"ad82a316","-1","2022-06-29T15:38:38.461Z","","42.3516345468398","","-71.0719237102588","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35196359495938 -71.07082400456271;42.35183276914731 -71.07106540337405;42.351305498720244 -71.07302341595492"}","","1","","Boylston St","","Arlington to Berkeley","","North","","17","2022-06-29T12:03:28.486Z","0","","2","2022-06-29T12:01:18.646Z","0","2022-06-29T15:38:33.511Z","0","2022-06-29T15:38:35.363Z","","","True","2022-06-29T12:06:04.52Z","",""
"f6cf8282","-1","2022-06-29T15:38:49.722Z","","42.3516741909706","","-71.073211170586","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35130748094817 -71.07303950920901;42.35204090099304 -71.07338283196292"}","","2","","Berkeley St","","Boylston to Newbury","","East","","2","2022-06-29T14:24:58.828Z","0","","2","2022-06-29T12:04:19.157Z","0","2022-06-29T15:38:44.566Z","0","2022-06-29T15:38:48.319Z","","","True","2022-06-29T12:06:02.486Z","",""
"72d89a7e","-1","2022-06-29T15:38:55.476Z","","42.3516484221874","","-71.0733291877826","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35200918570869 -71.07350084915957;42.35128765866602 -71.07315752640567"}","","3","","Berkeley","","Newbury to Boylston","","West","","0","","0","","0","","0","2022-06-29T15:38:52.54Z","0","2022-06-29T15:38:54.199Z","","","True","2022-06-29T12:05:57.519Z","",""
"46bd2fc8","-1","2022-06-29T15:39:00.981Z","","42.3510007564255","","-71.0741401831866","","{"strokeWeight":3;"strokeColor":"#009900";"type":"polyline";"path":"42.351275856705676 -71.07313725178986;42.35100032600609 -71.07414844458847;42.35072479409891 -71.07513817971497"}","","4","","Boylston St","","Berkeley to Clarendon","","North","","10","2022-06-29T12:08:18.928Z","1","2022-06-29T12:07:20.54Z","1","2022-06-29T12:08:06.276Z","0","2022-06-29T15:38:58.37Z","0","2022-06-29T15:38:59.73Z","","","True","2022-06-29T12:08:25.142Z","",""
"bc43fc2a","-1","2022-06-29T15:39:06.28Z","","42.3510874522191","","-71.0753462089618","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35072470324313 -71.07515845433078;42.35145020119512 -71.07553396359286"}","","5","","Clarendon St","","Boylston to Newbury","","East","","3","2022-06-29T12:09:36.032Z","1","2022-06-29T12:09:32.797Z","0","","0","2022-06-29T15:39:03.5Z","0","2022-06-29T15:39:05.042Z","","","True","2022-06-29T12:09:41.897Z","",""
"e1cc0c9c","-1","2022-06-29T15:39:12.597Z","","42.3510537542063","","-71.0754722727855","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.351418485612676 -71.07565734520755;42.35068902279993 -71.07528720036349"}","","6","","Clarendon St","","Newbury to Boylston","","West","","7","2022-06-29T12:11:15.702Z","1","2022-06-29T12:11:03.717Z","1","2022-06-29T12:10:52.685Z","0","2022-06-29T15:39:09.295Z","0","2022-06-29T15:39:11.079Z","","","True","2022-06-29T12:11:18.401Z","",""
"f9a53a9c","-1","2022-06-29T12:13:59.034Z","","42.3504174537489","","-71.0763091219982","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35068505830501 -71.07529792919955;42.350149849192825 -71.07732031479678"}","","7","","Boylston St","","Clarendon to Dartmouth","","North","","10","2022-06-29T12:13:43.585Z","0","","5","2022-06-29T12:13:52.632Z","1","2022-06-29T12:12:58.64Z","2","2022-06-29T12:13:38.016Z","","","true","2022-06-29T12:13:59.034Z","",""
"b9f765d6","-1","2022-06-29T15:39:21.015Z","","42.3505106192674","","-71.0774973405918","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35015381372151 -71.07732567921481;42.35086742481336 -71.07766900196872"}","","8","","Dartmouth St","","Boylston to Newbury","","East","","1","2022-06-29T12:15:00.255Z","1","2022-06-29T12:14:55.521Z","3","2022-06-29T12:14:47.254Z","0","2022-06-29T15:39:17.721Z","0","2022-06-29T15:39:19.435Z","","","True","2022-06-29T12:15:02.753Z","",""
"0283e001","-1","2022-06-29T15:39:26.7Z","","42.3504907967785","","-71.0775778068622","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.3508396734223 -71.07775483265719;42.35014192013469 -71.07740078106723"}","","9","","Dartmouth St","","Newbury to Boylston","","West","","4","2022-06-29T12:15:58.323Z","2","2022-06-29T12:15:52.75Z","1","2022-06-29T12:15:20.406Z","0","2022-06-29T15:39:23.82Z","0","2022-06-29T15:39:25.311Z","","","True","2022-06-29T12:16:06.541Z","",""
"81e32deb","-1","2022-06-29T15:39:33.438Z","","42.3498465613672","","-71.078446842583","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35013002654559 -71.07741150990329;42.34956309618879 -71.07948217526278"}","","10","","Boylston St","","Dartmouth to Exeter","","North","","9","2022-06-29T12:18:09.549Z","0","","1","2022-06-29T12:16:24.61Z","0","2022-06-29T15:39:30.334Z","0","2022-06-29T15:39:31.736Z","","","True","2022-06-29T12:18:17.598Z","",""
