"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Location","Location Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Paid","Paid Date Modified UTC","ADA Placard","ADA Placard Date Modified UTC","City, Service Vehicle","City, Service Vehicle Date Modified UTC","Double Parked Car","Double Parked Car Date Modified UTC","Double Parked Truck","Double Parked Truck Date Modified UTC","Notes","Notes Date Modified UTC","Complete","Complete Date Modified UTC","Picture","Picture Date Modified UTC"
"eeb31537","-1","2022-06-29T17:02:32.245Z","","42.3549705935033","","-71.0722992547865","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.355259981909995 -71.0724280008192;42.35468120509654 -71.07217050875377"}","","1","","Arlington St","","Beacon to Marlborough","","West","","8","2022-06-29T17:02:10.402Z","0","","0","","","","","","work truck with dumpster parked in one paid spot; a irrigation pickup truxk parked in another paid spot","2022-06-29T17:02:02.501Z","true","2022-06-29T17:02:32.245Z","",""
"a9248027","-1","2022-06-29T17:06:23.545Z","","42.3543006359496","","-71.0732380279417","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35459002744131 -71.07215977991771;42.354011244457936 -71.07431627596569"}","","2","","Marlborough St","","Arlington to Berkeley","","South","","7","2022-06-29T17:06:10.929Z","0","","0","","","","","","mostly residential peemit parking; two work trucks","2022-06-29T17:06:21.236Z","true","2022-06-29T17:06:23.545Z","",""
"bd3f1e43","-1","2022-06-29T17:08:26.003Z","","42.3536465281872","","-71.0741499790068","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.353995387314875 -71.07431627596569;42.35329766905959 -71.07398368204784"}","","3","","Berkeley St","","Marlborough to Commonwealth","","East","","9","2022-06-29T17:08:23.425Z","0","","0","","","","","","","","true","2022-06-29T17:08:26.003Z","",""
"ad281b7e","-1","2022-06-29T17:10:21.572Z","","42.3536108494246","","-71.0743055471296","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.353265954409416 -71.07413388575267;42.35395574443974 -71.07447720850658"}","","4","","Berkeley St","","Commonwealth to Marlborough","","West","","10","2022-06-29T17:10:18.547Z","0","","0","","","","","","","","true","2022-06-29T17:10:21.572Z","",""
"7c7a8682","-1","2022-06-29T17:13:33.896Z","","42.35369013597","","-71.0754749902601","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35395574443974 -71.07448793734264;42.35342452750033 -71.0764620431776"}","","5","","Marlborough St","","Berkeley to Clarendon","","South","","11","2022-06-29T17:13:16.977Z","2","2022-06-29T17:12:54.368Z","0","","","","","","big truck taking up a lil more than one spot ","2022-06-29T17:13:32.661Z","true","2022-06-29T17:13:33.896Z","",""
"061b2107","-1","2022-06-29T17:15:28.451Z","","42.3530677365149","","-71.0763011106367","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.353416598855276 -71.0764620431776;42.35271887417456 -71.07614017809581"}","","6","","Clarendon St","","Marlborough to Commonwealth","","East","","10","2022-06-29T17:15:24.809Z","1","2022-06-29T17:15:25.794Z","0","","","","","","","","true","2022-06-29T17:15:28.451Z","",""
"1659e425","-1","2022-06-29T17:16:59.611Z","","42.3530360217487","","-71.0764781364317","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35268715923233 -71.07631183947277;42.3533848842651 -71.07664443339061"}","","7","","Clarendon St","","Commonwealth to Marlborough","","West","","9","2022-06-29T17:16:51.993Z","2","2022-06-29T17:16:46.846Z","0","","","","","","","","true","2022-06-29T17:16:59.611Z","",""
"7001c935","-1","2022-06-29T17:19:19.893Z","","42.3531113446993","","-71.0776314863081","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35337695561506 -71.07663370455455;42.35284573378354 -71.07862926806163"}","","8","","Marlborough St","","Clarendon to Dartmouth","","South","","0","","0","","0","","","","","","all residential permit ","2022-06-29T17:19:19.276Z","true","2022-06-29T17:19:19.893Z","",""
"40c54cfa","-1","2022-06-29T17:20:39.658Z","","42.3524968682745","","-71.0784522422667","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35284573378354 -71.07860781038951;42.35214800276546 -71.07829667414379"}","","9","","Dartmouth St","","Marlborough to Commonwealth","","East","","8","2022-06-29T17:20:36.724Z","0","","0","","","","","","","","true","2022-06-29T17:20:39.658Z","",""
"43e757f2","-1","2022-06-29T18:34:03.657Z","","42.3524691176248","","-71.0785488017912","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.352124216344215 -71.07838250483226;42.35281401890531 -71.07871509875011"}","","10","","Dartmouth St","","Commonwealth to Marlborough","","West","","8","2022-06-29T17:22:51.053Z","1","2022-06-29T17:21:46.544Z","0","","1","2022-06-29T17:22:13.012Z","","","","","true","2022-06-29T18:34:03.657Z","",""
"ade8edca","-1","2022-06-29T17:24:47.73Z","","42.3532302745055","","-71.0789457687254","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35289330607091 -71.07879020060253;42.353567242940066 -71.07910133684825"}","","11","","Dartmouth St","","Marlborough to Beacon","","West","","9","2022-06-29T17:24:45.791Z","0","","0","","","","","","","","true","2022-06-29T17:24:47.73Z","",""
"11e9a3e7","-1","2022-06-29T17:27:42.264Z","","42.3538566362178","","-71.0766766198988","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35371788666379 -71.07904769266796;42.354264958202684 -71.077073586833"}","","12","","Beacon St","","Dartmouth to Clarendon","","North","","0","","0","","0","","","","","","mostly residential permit parking ","2022-06-29T17:27:21.469Z","true","2022-06-29T17:27:42.264Z","",""
"7013f5da","-1","2022-06-29T17:30:54.591Z","","42.3545820983652","","-71.0759202369566","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35431252941578 -71.07690192545604;42.35485166731453 -71.07493854845714"}","","13","","Beacon St","","Clarendon to Berkeley","","North","","15","2022-06-29T17:30:50.318Z","0","","1","2022-06-29T17:29:19.708Z","","","","","valet parking at beginning of route","2022-06-29T17:28:58.465Z","true","2022-06-29T17:30:54.591Z","",""
"227ef4fe","-1","2022-06-29T17:32:40.169Z","","42.3543799210239","","-71.0746917852278","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.354712919032565 -71.07486344660472;42.35404692301516 -71.07452012385082"}","","14","","Berkeley St","","Beacon to Marlborough","","West","","6","2022-06-29T17:32:26.335Z","0","","0","","","","","","","","true","2022-06-29T17:32:40.169Z","",""
"e0ca23e1","-1","2022-06-29T17:34:21.298Z","","42.3544195636103","","-71.0745201238508","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35408260155217 -71.07434846247386;42.35475652566848 -71.07469178522777"}","","15","","Berkeley St","","Marlborough to Beacon","","East","","5","2022-06-29T17:34:16.35Z","0","","0","","1","2022-06-29T17:33:43.644Z","","","","","true","2022-06-29T17:34:21.298Z","",""
"601f4383","-1","2022-06-29T17:36:37.722Z","","42.3550260927469","","-71.0737583764906","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35476445414448 -71.07468105639171;42.355287731349335 -71.07283569658946"}","","16","","Beacon St","","Berkeley to Arlington","","South","","12","2022-06-29T17:36:10.952Z","2","2022-06-29T17:36:02.33Z","0","","","","","","","","true","2022-06-29T17:36:37.722Z","",""
"f2a08edd","-1","2022-06-29T17:39:25.387Z","","42.3555414396283","","-71.0732702144499","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35573964906542 -71.0733828672285;42.35534323019127 -71.07315756167125"}","","17","","David G. Mugar Way","","Beacon to Back St","","West","","0","","0","","0","","0","2022-06-29T17:38:44.97Z","","","no parking here; system wont let me mark this as done ","2022-06-29T17:39:25.387Z","true","2022-06-29T17:38:21.681Z","",""
