"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Description","Description Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Green Flashing","Green Flashing Date Modified UTC","Red Flashing","Red Flashing Date Modified UTC","ADA","ADA Date Modified UTC","Notes","Notes Date Modified UTC","Picture","Picture Date Modified UTC","COMPLETE","COMPLETE Date Modified UTC"
"ca8217d1","-1","2022-08-03T00:26:31.641Z","","39.7457177637221","","-104.997589635737","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74601886283235 -104.99797050941663;39.745416664611845 -104.9972087620564"}","","","","","","","","","","0","2022-08-03T00:26:31.641Z","","","","","","","","","",""
"f85f0b07","-1","2022-08-03T00:25:36.249Z","","39.7458476892634","","-104.996661591417","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74542078927508 -104.99719803322034;39.74627458925169 -104.99612514961439"}","","","","","","","","","","3","2022-08-03T00:25:36.249Z","","","","","","","","","",""
"98cc0955","-1","2022-08-03T00:24:41.318Z","","39.7467633527946","","-104.99545727957","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.746348832227916 -104.9960017679997;39.74717787336124 -104.99491279113965"}","","","","","","","","","","4","2022-08-03T00:24:40.649Z","1","2022-08-03T00:24:41.318Z","","","","","","","",""
"5e253495","-1","2022-08-03T00:24:01.404Z","","39.7467014840502","","-104.995360720045","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74711188040265 -104.99482159603315;39.74629108769778 -104.99589984405713"}","","","","","","","","","","3","2022-08-03T00:24:00.949Z","2","2022-08-03T00:24:01.404Z","","","","","","","",""
"435974c2","-1","2022-08-03T00:22:54.938Z","","39.7457858197227","","-104.996556985266","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74620447081181 -104.99601786125379;39.74536716863362 -104.99709610927778"}","","","","","","","","","","6","2022-08-03T00:22:53.401Z","2","2022-08-03T00:22:54.307Z","1","2022-08-03T00:22:54.938Z","","","","","",""
"048438a4","-1","2022-08-03T00:21:55.09Z","","39.7450557549905","","-104.996715235598","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74535066996629 -104.99709610927778;39.744760840014784 -104.99633436191755"}","","","","","","","","","","6","2022-08-03T00:21:55.09Z","","","","","","","","","",""
"64ff8e23","-1","2022-08-03T00:20:42.078Z","","39.7451918687433","","-104.995776462442","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.744760840014784 -104.99631826866346;39.74562289747173 -104.99523465622144"}","","","","","","","","","","7","2022-08-03T00:20:42.078Z","","","","","","","","","",""
"147bad7c","-1","2022-08-03T00:19:24.73Z","","39.7461178525576","","-104.994580197222","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74570126579663 -104.99512200344282;39.746534439318474 -104.9940383910008"}","","","","","","","","","","7","2022-08-03T00:19:27.386Z","2","2022-08-03T00:19:24.73Z","","","","","","","",""
"845b916b","-1","2022-08-03T00:18:16.836Z","","39.7460353600552","","-104.994480955488","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.746456071941225 -104.99394183147626;39.745614648169195 -104.99502007950025"}","","","","","","","","","","7","2022-08-03T00:18:16.836Z","","","","","","","","","",""
"dcaded8f","-1","2022-08-03T00:16:47.607Z","","39.745097001162","","-104.995671856291","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74551978111895 -104.99513273227888;39.744674221205116 -104.99621098030286"}","","","","","","","","","","5","2022-08-03T00:16:47.607Z","2","2022-08-03T00:14:59.977Z","1","2022-08-03T00:16:16.607Z","","","","","",""
"003d117b","-1","2022-08-03T00:14:03.732Z","","39.7443566172953","","-104.99583815325","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74466184708054 -104.99622170913892;39.74405138751012 -104.99545459736066"}","","","","","","","","","","1","2022-08-03T00:14:02.866Z","3","2022-08-03T00:14:03.732Z","","","","","","","",""
"eaafd36f","-1","2022-08-03T00:11:34.294Z","","39.7436904707724","","-104.994963753111","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74397714205833 -104.99533121574598;39.74340379948651 -104.9945962904759"}","","","","","","","","","","","","4","2022-08-03T00:11:21.439Z","1","2022-08-03T00:11:34.294Z","","","","","",""
"0499448e","-1","2022-08-03T00:09:26.796Z","","39.7430284425102","","-104.994116175062","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74332130375984 -104.9944890021153;39.74273558126059 -104.99374334800916"}","","","","","","","","","","6","2022-08-03T00:09:56.11Z","1","2022-08-03T00:09:26.796Z","","","","","","","",""
"f9eae749","-1","2022-08-03T00:08:22.814Z","","39.7431686851207","","-104.993182766325","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.742747955731055 -104.99372725475507;39.74358941451038 -104.99263827789503"}","","","","","","","","","","1","2022-08-03T00:08:22.814Z","1","2022-08-03T00:07:31.12Z","","","","","","","",""
"fba74eb1","-1","2022-08-03T00:07:43.618Z","","39.743092376304","","-104.993070113546","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.743515168560826 -104.9925256251164;39.74266958404716 -104.99361460197645"}","","","","","","","","","","3","2022-08-03T00:07:57.901Z","2","2022-08-03T00:07:43.618Z","","","","","","","",""
"37aba0ef","-1","2022-08-03T00:08:58.549Z","","39.7423499084831","","-104.993233728296","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.742653084733924 -104.99363069523054;39.74204673223236 -104.99283676136213"}","","","","","","","","","","0","2022-08-03T00:08:58.549Z","","","","","","","","","",""
