,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
73,09AM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
99,10AM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
125,11AM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,4,0,0,0,0,0,,
151,12PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,3,0,0,0,0,0,,
177,1PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
203,2PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,1 paid all day is probably a live in vehicle,
229,3PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,3,0,0,0,0,0,,
255,4PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
302,5PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
328,6PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
354,7PM,11/1/2021,BallardE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,3,0,0,0,0,0,,
75,09AM,11/1/2021,BallardE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,0,1,0,0,0,0,load also taking some illegal space -is owned by business on corner,https://idax.blob.core.windows.net/images/990b2aba-5ccc-40e6-876a-97f1dfce6a37-mobile.jpg
101,10AM,11/1/2021,BallardE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,1,1,0,0,0,0,,
127,11AM,11/1/2021,BallardE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,1,1,0,0,0,0,,
153,12PM,11/1/2021,BallardE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
179,1PM,11/1/2021,BallardE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,1,0,0,0,0,,
205,2PM,11/1/2021,BallardE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,1,0,0,0,0,0,,
