,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
381,09AM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,3,0,0,0,0,0,,
395,10AM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,1,0,0,0,0,0,,
409,11AM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,3,0,0,0,0,0,,
423,12PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,8,0,0,0,0,0,,
437,1PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,9,0,0,0,0,0,,
451,2PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,7,0,0,0,0,0,,
465,3PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,8,0,0,1,0,0,,
500,4PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,4,0,0,0,0,0,,
514,5PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,2,0,0,0,0,0,,
528,6PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,0,0,0,0,0,0,NO COLLECTION,
542,7PM,11/1/2021,BallardW,NO RPZ,94731,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,N,0,0,0,0,0,0,,
382,09AM,11/1/2021,BallardW,NO RPZ,94732,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,S,1,0,0,0,0,0,,
396,10AM,11/1/2021,BallardW,NO RPZ,94732,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,S,6,0,0,1,0,0,,
410,11AM,11/1/2021,BallardW,NO RPZ,94732,NW 54TH SR ST BETWEEN 30TH WR AVE NW AND 32ND AVE NW,S,6,0,0,1,0,0,,
