,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
371,09AM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
385,10AM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
399,11AM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,3,0,0,1,0,0,,
413,12PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,1,0,0,0,0,0,,
427,1PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,5,0,0,1,0,0,,
441,2PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,2,0,0,,
455,3PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,2,0,0,,
490,4PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,1,passenger vehicle in commercial permit zone,
504,5PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,3,0,0,0,0,0,,
518,6PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,1,0,0,0,0,0,,
532,7PM,11/1/2021,BallardW,NO RPZ,3341,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,2,passenger vehicles in commercial load zone,
65,09AM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,2,0,0,0,0,0,,
91,10AM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,2,0,0,0,0,0,,
117,11AM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,0,0,0,0,0,,
143,12PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,0,0,0,0,0,,
169,1PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,0,0,0,0,0,,
195,2PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,0,0,0,0,0,,
221,3PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,5,0,0,0,0,0,,
247,4PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
294,5PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
320,6PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,2,0,0,0,0,0,,
346,7PM,11/1/2021,BallardE,NO RPZ,3342,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
10,09AM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,2,0,0,0,0,0,,
281,10AM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,1,1,0,1,0,0,,
478,11AM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,4,0,0,0,0,0,,
555,12PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,6,1,0,1,0,0,,
576,1PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,6,1,0,0,0,0,,
597,2PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,8,0,0,0,0,0,,
618,3PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,7,0,0,0,0,0,,
639,4PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,4,0,0,0,0,0,,
660,5PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,5,0,0,0,0,0,,
31,6PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,6,0,0,0,0,0,,
52,7PM,11/1/2021,BallardS,NO RPZ,31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,5,0,0,0,0,0,,
0,09AM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,6,0,0,0,0,0,,
271,10AM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,9,0,0,0,0,0,,
468,11AM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,12,1,0,1,0,0,,
545,12PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,12,1,0,0,0,0,,
566,1PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,13,3,0,0,0,1,car in mak EQ hift spot bloxking fore hydrant,https://idax.blob.core.windows.net/images/d253a26a-a7c8-40be-85ff-35ac16a52580-mobile.jpg
587,2PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,11,2,0,0,0,0,,
608,3PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,15,2,0,0,0,0,,
629,4PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,10,3,0,0,0,0,,
650,5PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,12,2,0,0,0,0,,
21,6PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,13,0,0,0,0,0,,
42,7PM,11/1/2021,BallardS,NO RPZ,31850,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,NE,16,2,0,2,0,0,,
1,09AM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,18,0,0,0,0,0,,
272,10AM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,13,0,0,1,0,0,,
469,11AM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,16,0,0,3,0,0,,
546,12PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,25,0,0,2,0,0,FEDEX in load zone,
567,1PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,30,0,0,1,0,0,,
588,2PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,30,0,0,0,0,0,,
609,3PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,24,0,0,0,0,1,van illegally parked for load zone, car illegally parked in front of covid test site
630,4PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,25,0,0,3,0,0,,
651,5PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,27,0,0,1,0,2,cars illegally parked by covid test site,
22,6PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,28,0,0,2,0,0,,
43,7PM,11/1/2021,BallardS,NO RPZ,31853,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,SW,31,0,0,1,0,0,,
9,09AM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,7,1,0,0,0,0,,
280,10AM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,2,0,0,0,0,0,,
477,11AM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,2,0,0,0,0,0,,
554,12PM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,9,1,0,0,0,0,,
575,1PM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,8,0,0,1,0,0,,
596,2PM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,7,0,0,0,0,0,,
617,3PM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,7,0,0,0,0,0,,
638,4PM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,7,1,0,0,0,0,,
659,5PM,11/1/2021,BallardS,NO RPZ,31854,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,NE,8,0,0,0,0,0,,
