,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
9,08AM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,0,0,0,0,0,0,,
31,5PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,1,0,0,0,0,0,,
53,6PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,4,0,0,0,0,0,,
75,7PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
209,09AM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,0,0,0,0,0,0,,
416,10AM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,0,0,0,0,0,0,,
585,11AM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
607,12PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,3,0,0,0,0,0,,
629,1PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,1,0,0,,
651,2PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
673,3PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
695,4PM,9/6/2022,BallardEdgeE,NO RPZ,3081,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,W,2,0,0,0,0,0,,
11,08AM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,0,0,0,0,0,0,,
33,5PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
55,6PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
77,7PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,0,0,0,0,0,,
211,09AM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,1,0,0,0,0,,
418,10AM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,1,0,0,0,0,0,,
587,11AM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,1,0,0,0,0,0,,
609,12PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,1,1,0,0,0,0,,
631,1PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,1,0,0,0,0,,
653,2PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,4,0,0,0,0,0,,
675,3PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,2,0,0,0,0,0,,
697,4PM,9/6/2022,BallardEdgeE,NO RPZ,3082,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,E,3,1,0,0,0,0,,
322,08AM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,1,0,0,0,0,0,,
343,09AM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,4,0,0,0,0,0,,
364,10AM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,5,0,0,0,0,0,,
385,11AM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,5,1,0,0,0,0,,
406,12PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,7,1,0,0,0,0,,
449,1PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,7,1,0,0,0,0,,
470,2PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,7,0,0,0,0,0,,
491,3PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,5,0,0,0,0,0,,
512,4PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,4,0,0,0,1,0,,
533,5PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,6,0,0,0,0,0,,
554,6PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,5,1,0,0,0,0,,
575,7PM,9/6/2022,BallardEdgeS,NO RPZ,3337,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,5,1,0,0,0,0,,
320,08AM,9/6/2022,BallardEdgeS,NO RPZ,3338,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,E,0,0,0,0,0,0,,
