,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
515,09AM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,1,1,0,0,0,0,,
535,10AM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,8,0,0,0,0,0,,
555,11AM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,9,2,0,0,0,0,,
575,12PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,11,2,0,0,0,0,,
595,1PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,9,1,0,1,0,0,,
615,2PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,11,0,0,0,0,0,,
655,3PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,4,2,0,0,0,0,,
675,4PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,1,1,0,0,0,0,,
695,5PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,0,0,0,0,0,0,,
715,6PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,8,0,0,1,0,0,,
735,7PM,10/22/2021,BellTSouth-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,11,0,0,1,0,0,,
523,09AM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,1,1,0,0,0,0,,
543,10AM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,11,2,0,0,1,0,,
563,11AM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,15,2,0,0,0,0,,
583,12PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,13,1,0,0,0,0,,
603,1PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,11,3,0,1,0,0,,
623,2PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,10,2,0,0,0,0,,
663,3PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,7,2,0,0,0,0,,
683,4PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,0,0,0,0,0,0,,
703,5PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,0,1,0,0,0,0,,
723,6PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,1,0,0,0,0,0,,
743,7PM,10/22/2021,BellTSouth-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,12,3,0,0,0,0,,
525,09AM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,4,1,0,0,0,0,,
545,10AM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,5,2,0,0,0,0,,
565,11AM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,3,0,1,0,0,,
585,12PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,2,0,1,0,0,,
605,1PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,1,0,0,0,0,,
625,2PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,2,0,0,0,0,,
665,3PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,6,0,0,0,0,0,,
685,4PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,6,0,0,1,0,0,,
705,5PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,1,0,0,0,0,,
725,6PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,10,0,0,0,0,0,,
745,7PM,10/22/2021,BellTSouth-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,12,2,0,0,0,0,,
518,09AM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,5,0,0,0,0,0,,
538,10AM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,6,1,0,0,0,0,,
558,11AM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,6,2,0,1,0,0,,
578,12PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,7,1,0,1,0,0,,
598,1PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,7,2,0,0,0,0,,
618,2PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,7,2,0,0,0,0,,
658,3PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,7,0,0,1,0,0,,
678,4PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,8,1,0,0,0,0,,
698,5PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,8,0,0,0,0,0,,
718,6PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,8,0,0,1,0,0,,
738,7PM,10/22/2021,BellTSouth-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,9,1,0,1,0,0,,
274,09AM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,4,0,0,3,0,0,,
294,10AM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,12,0,0,3,0,0,,
314,11AM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,13,0,0,3,0,0,,
334,12PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,9,0,0,1,0,0,,
354,1PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,7,1,0,1,0,0,,
374,2PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,8,0,0,1,1,0,,
394,3PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,8,0,0,1,0,0,,
454,4PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,11,1,0,1,0,0,,
434,5PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,0,0,2,0,0,,
474,6PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,0,0,2,0,0,,
494,7PM,10/22/2021,BellTSouth-5th,No RPZ,7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,7,0,0,3,0,0,,
268,09AM,10/22/2021,BellTSouth-5th,No RPZ,7258,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,8,0,0,2,0,0,,
288,10AM,10/22/2021,BellTSouth-5th,No RPZ,7258,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,8,0,0,2,0,0,,
308,11AM,10/22/2021,BellTSouth-5th,No RPZ,7258,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,5,0,0,2,0,0,,
328,12PM,10/22/2021,BellTSouth-5th,No RPZ,7258,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,7,0,0,2,0,0,,
348,1PM,10/22/2021,BellTSouth-5th,No RPZ,7258,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,8,0,0,1,0,0,,
