,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
76,08AM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,0,0,0,0,0,0,,
96,09AM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,2,0,0,0,0,0,,
116,10AM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,4,1,0,0,0,0,,
136,11AM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,3,1,0,1,0,0,,
156,12PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,5,1,0,1,0,0,,
176,1PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,6,1,0,1,0,0,,
196,2PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,6,1,0,0,0,0,,
233,3PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,0,0,0,0,0,3,,
253,4PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,0,0,0,0,0,0,,
273,5PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,0,0,0,0,0,0,,
293,6PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,0,1,0,0,0,0,,
313,7PM,5/3/2022,BellTS-1st,No RPZ,1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,6,0,0,1,0,0,,
84,08AM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,0,0,0,0,0,0,,
104,09AM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,1,1,0,0,0,0,,
124,10AM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,4,1,0,0,0,0,,
144,11AM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,6,3,0,0,0,0,,
164,12PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,6,2,0,1,0,0,,
184,1PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,5,2,0,1,0,0,,
204,2PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,7,3,0,0,0,0,,
241,3PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,0,0,0,0,0,1,,
261,4PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,0,0,0,0,0,0,,
281,5PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,0,0,0,0,0,0,,
301,6PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,0,0,0,0,0,,
321,7PM,5/3/2022,BellTS-1st,No RPZ,1018,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,1,1,0,0,0,0,,
86,08AM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,4,0,0,0,0,0,,
106,09AM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,0,0,0,0,0,,
126,10AM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,1,0,0,0,0,,
146,11AM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,6,0,0,2,0,0,,
166,12PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,6,1,0,2,0,0,,
186,1PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,1,0,2,0,0,,
206,2PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,6,1,0,2,0,0,,
243,3PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,1,0,0,0,0,,
263,4PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,8,1,0,1,0,0,,
283,5PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,8,1,0,1,0,0,,
303,6PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,8,0,0,1,0,0,,
323,7PM,5/3/2022,BellTS-1st,No RPZ,1021,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,6,0,0,0,0,0,,
79,08AM,5/3/2022,BellTS-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,1,0,0,0,0,0,,
99,09AM,5/3/2022,BellTS-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,3,0,0,0,0,0,,
119,10AM,5/3/2022,BellTS-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,4,0,0,0,0,0,,
139,11AM,5/3/2022,BellTS-1st,No RPZ,1022,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,5,0,0,0,0,0,,
