,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
75,09AM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,6,0,0,2,0,0,,
86,10AM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,1,1,1,1,0,1,photo of a car blocking a driveway; technically. garbage cans are too. also: i swear I’ve seen RPZ exceptions and the exact zone listed on these signs. i don’t understand why that’s not consistent in all RPZ zones…,https://idax.blob.core.windows.net/images/776d5a3e-d158-4848-8f29-aa29bb2c3bf4-mobile.jpg
97,11AM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,4,1,2,1,0,0,,
108,12PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,9,2,0,2,0,0,,
119,1PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,9,1,0,1,0,0,,
130,2PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,7,1,0,1,0,0,,
156,3PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,7,3,1,1,0,0,,
167,4PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,6,0,0,3,0,0,,
178,5PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,8,0,1,4,0,0,,
189,6PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,9,1,1,1,0,0,,
200,7PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,11,0,1,2,0,0,,
211,8PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,11,0,2,3,0,0,,
222,9PM,10/29/2021,CapHillS1,RPZ 4,1589,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,11,0,2,2,0,0,,
81,09AM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,5,0,0,1,0,0,,
92,10AM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,4,0,1,3,0,0,i looked for rpz signs on this block and saw absolutely no indicators for rpz 4. i know i will have missed counting them on my first run. i looked on each of the early blocks for any signs and saw nothing. i see it in the block notes now though and will count accordingly. ,
103,11AM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,2,3,2,4,0,0,,
114,12PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,4,2,2,2,0,0,,
125,1PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,7,1,1,2,0,0,,
136,2PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,6,1,0,2,0,0,,
162,3PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,7,1,0,2,0,0,,
173,4PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,8,1,0,1,0,0,,
184,5PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,8,1,0,1,0,1,,
195,6PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,6,2,0,3,0,0,,
206,7PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,9,0,0,1,0,1,,
217,8PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,12,0,0,1,0,1,ilegal car blocking cross walk,
228,9PM,10/29/2021,CapHillS1,RPZ 4,1590,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,6,1,0,3,0,0,,
11,09AM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,5,1,0,1,0,0,,
152,10AM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,6,0,0,1,0,0,,
244,11AM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,4,0,0,1,0,0,,
259,12PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,5,0,0,1,0,0,,
274,1PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,6,1,0,1,0,0,,
289,2PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,3,0,0,1,0,0,,
304,3PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,6,1,0,1,0,0,no rpz noted on signage ; there is a truck w/ rpz zone 4; assumong he paid to park in this section ,https://idax.blob.core.windows.net/images/62c16fb0-f69b-4ae5-9eb6-eec0c0690fc4-mobile.jpg
319,4PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,6,0,0,1,1,0,,
334,5PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,7,0,0,0,1,0,,
26,6PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,8,0,0,0,1,0,,
41,7PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,9,0,0,0,1,0,,
56,8PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,10,0,0,0,0,0,,
71,9PM,10/29/2021,CapHillS2,NO RPZ,9461,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,11,0,0,0,0,0,,
14,09AM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,1,0,0,1,0,0,,
155,10AM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,2,0,0,1,0,0,,
247,11AM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,2,0,0,1,0,0,,
262,12PM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,2,0,0,1,0,0,,
277,1PM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,3,0,0,1,0,0,1 UPS,
292,2PM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,5,0,0,1,0,0,1 Staples truck,
307,3PM,10/29/2021,CapHillS2,NO RPZ,9462,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,2,0,0,1,0,0,no rpz noted on signage ,https://idax.blob.core.windows.net/images/3c233ae9-ffbb-49e9-ae6e-ebb90bf0b56f-mobile.jpg
