,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
18,09AM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,2,0,0,7,0,0,,"https://idax.blob.core.windows.net/images/fdb45e95-91ce-4dea-80b7-3d5de6fe28a3-mobile.jpg,https://idax.blob.core.windows.net/images/7f2a562d-6168-45da-960d-76e9e91ce0ac-mobile.jpg"
75,10AM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,2,0,0,15,0,0,,
94,11AM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,1,0,0,9,0,0,,
113,12AM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,8,0,0,,
132,1PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,1,0,0,9,0,0,,
151,2PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,2,0,0,6,0,0,,
170,3PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,6,0,0,,
189,4PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,4,0,0,,
208,5PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,2,0,0,,
37,6PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,0,0,0,,
56,7PM,10/12/2021,Cherry-12th,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,2,0,0,0,0,0,,
17,09AM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,3,0,0,,"https://idax.blob.core.windows.net/images/027ae668-08c3-4fb8-9f52-7f860ec842dc-mobile.jpg,https://idax.blob.core.windows.net/images/e8c8d0a4-c609-4fdc-af27-f5e4cf9dda1f-mobile.jpg"
74,10AM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,4,0,0,,
93,11AM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,0,0,0,3,0,0,,
112,12AM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,0,0,0,2,0,0,,
131,1PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,2,0,0,2,0,0,,
150,2PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,2,0,0,3,0,0,,
169,3PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,2,0,0,2,0,0,,
188,4PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,2,0,0,,
207,5PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,2,0,0,,
36,6PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,2,0,0,,
55,7PM,10/12/2021,Cherry-12th,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,1,0,0,,
14,09AM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,4,0,0,,
71,10AM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,4,0,0,5,0,0,,
90,11AM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,4,0,0,,
109,12AM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,4,0,0,,
128,1PM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,5,0,0,,
147,2PM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,2,0,0,5,0,0,,
166,3PM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,3,0,0,4,0,0,,
185,4PM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,3,0,0,,
204,5PM,10/12/2021,Cherry-12th,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,2,0,0,,
