,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
5,08AM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,3,0,0,3,0,0,,
29,09AM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,3,0,0,5,0,0,,
35,10AM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,6,0,0,4,0,0,,
41,11AM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,4,0,0,4,0,0,,
47,12PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,4,0,0,3,0,0,,
53,1PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,4,0,0,3,1,0,,
59,2PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,3,0,0,5,0,0,,
65,3PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,3,0,0,4,0,0,,
71,4PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,1,0,0,4,1,0,,
11,5PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,3,1,0,,
17,6PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,2,0,0,,
23,7PM,4/21/2022,CherryHill,NO RPZ,36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,0,0,0,2,0,0,,
4,08AM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,1,0,0,0,0,,
28,09AM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,5,0,0,0,0,0,,
34,10AM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,5,0,0,0,0,0,,
40,11AM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,4,0,0,0,0,0,,
46,12PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,2,0,0,,
52,1PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,2,0,0,2,0,0,,
58,2PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,1,0,0,,
64,3PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,1,0,0,,
70,4PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,0,0,0,,
10,5PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,0,0,0,,
16,6PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,0,0,0,,
22,7PM,4/21/2022,CherryHill,NO RPZ,36493,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,N,2,0,0,1,0,0,,
1,08AM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,6,0,0,3,0,0,,
25,09AM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,5,0,0,3,0,0,,
31,10AM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,6,0,0,3,0,0,,
37,11AM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,4,0,0,3,0,0,,
43,12PM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,2,0,0,3,0,0,,
49,1PM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,5,1,0,,
55,2PM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,5,1,0,,
61,3PM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,0,0,0,5,1,0,,
67,4PM,4/21/2022,CherryHill,NO RPZ,36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,1,0,0,4,1,0,,
