,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
2,09AM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,4,0,0,2,0,0,,https://idax.blob.core.windows.net/images/cb5e1501-50b0-400e-8a04-e7249c9a7075-mobile.jpg
59,10AM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,8,0,0,0,0,0,,
78,11AM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,7,1,0,1,0,0,,
97,12AM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,8,1,0,0,0,0,,
116,1PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,7,1,0,1,0,0,,
135,2PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,5,0,0,1,0,0,,
154,3PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,5,2,0,2,0,0,,
173,4PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,6,0,0,2,0,0,,
192,5PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,5,0,0,2,0,0,,
21,6PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,5,1,0,3,0,0,,
40,7PM,10/12/2021,Cherry-12th,NO RPZ,1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,7,1,0,1,0,0,,
0,09AM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,5,2,0,0,1,1,,https://idax.blob.core.windows.net/images/92942b88-e9f5-4d87-a2ea-39f584723e21-mobile.jpg
57,10AM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,4,0,0,0,2,0,,
76,11AM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,4,1,0,0,2,0,,
95,12AM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,5,3,0,0,1,1,,
114,1PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,4,3,0,0,1,0,,
133,2PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,5,3,0,0,1,0,,
152,3PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,6,3,0,0,0,0,,
171,4PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,5,3,0,0,0,0,,
190,5PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,4,3,0,1,0,0,,
19,6PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,5,2,0,1,0,0,,
38,7PM,10/12/2021,Cherry-12th,RPZ 7,1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,5,3,0,1,0,0,,
1,09AM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,5,0,0,1,0,0,,https://idax.blob.core.windows.net/images/d29a60e3-a0f9-4153-9da7-71a0d6ae6754-mobile.jpg
58,10AM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,8,0,0,0,0,0,,
77,11AM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,5,0,0,1,0,0,,
96,12AM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,5,0,0,1,0,0,,
115,1PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,5,1,0,2,0,0,,
134,2PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,2,0,0,2,0,0,,
153,3PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,1,0,0,2,0,0,,
172,4PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,3,0,0,1,0,0,,
191,5PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,5,1,0,1,0,0,,
20,6PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,6,1,0,1,0,0,,
39,7PM,10/12/2021,Cherry-12th,NO RPZ,24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,7,1,0,1,0,0,,
4,09AM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,3,1,0,4,0,1,,https://idax.blob.core.windows.net/images/9e7c21fa-48c0-4dba-aca0-f45417a466f3-mobile.jpg
61,10AM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,4,2,0,1,0,0,,
80,11AM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,3,1,0,2,0,1,,
99,12AM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,2,3,0,3,0,1,,
118,1PM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,2,2,0,3,0,0,,
137,2PM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,2,1,0,2,0,0,,
156,3PM,10/12/2021,Cherry-12th,RPZ 7,24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,2,1,0,3,0,1,,
