,Time,Date,Route,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
5,09AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,0,1,0,0,0,,
15,10AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,0,1,0,0,0,,
25,11AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,5,0,1,0,0,0,,
35,12AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,4,0,1,0,0,0,,
45,1PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,6,0,1,0,0,0,,
55,2PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,4,0,1,1,0,0,,
65,3PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,5,0,0,0,0,0,,
75,4PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,3,0,0,0,0,0,,
85,5PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,6,0,0,0,0,0,,
4,09AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,0,1,0,0,0,,
14,10AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,0,0,2,0,0,0,,
24,11AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,0,3,0,0,0,,
34,12AM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,4,0,2,0,0,0,,
44,1PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,3,0,2,0,0,0,,
54,2PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,4,0,1,0,0,0,,
64,3PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,3,0,1,0,0,0,,
74,4PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,5,0,1,0,0,0,,
84,5PM,10/12/2021,ColumbiaCity,28581,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,6,0,0,0,0,0,,
1,09AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,0,0,0,0,0,,
2,09AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,1,0,1,0,0,0,on street dining on south end of sidewalk; temp load zones,https://idax.blob.core.windows.net/images/d8d0664e-45ce-4e7c-baed-c04c428dec30-mobile.jpg
11,10AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,2,0,0,0,0,,
12,10AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,1,0,0,0,0,1 oversized truck,https://idax.blob.core.windows.net/images/c474faf8-e181-4766-b276-b87a9df02ad7-mobile.jpg
21,11AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,1,0,0,0,0,,
22,11AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,1,0,0,0,0,,
31,12AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
32,12AM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,1,0,1,0,0,,
41,1PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,0,0,0,0,0,,
42,1PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,3,1,0,0,0,0,,
51,2PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,2,0,0,0,0,0,,
52,2PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,0,0,0,0,0,,
61,3PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,3,0,0,0,0,0,,
62,3PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,0,0,0,0,0,0,,
71,4PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
72,4PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,3,0,0,0,0,0,,
81,5PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,3,1,0,1,0,0,,
82,5PM,10/12/2021,ColumbiaCity,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,W,2,0,0,0,0,0,1 oversized truck in load zone,https://idax.blob.core.windows.net/images/2f859c87-9f96-4c71-8754-77e164d4e77f-mobile.jpg
7,09AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,0,0,0,1,0,,
9,09AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,1,0,0,0,0,0,on street dining on south end,https://idax.blob.core.windows.net/images/0f5beae3-af44-471d-b74e-ac41225de85e-mobile.jpg
17,10AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,0,1,0,0,1,0,,
19,10AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,1,0,0,0,0,0,,
27,11AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,1,0,0,1,0,,
29,11AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,0,0,0,0,0,0,,
37,12AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,0,0,0,1,0,,
39,12AM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,2,0,0,1,1,0,,
47,1PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,1,0,0,1,0,,
49,1PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,2,0,0,1,0,0,,
57,2PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,1,0,0,1,0,,
59,2PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,1,1,0,1,0,0,,
67,3PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,0,1,0,1,1,0,,
69,3PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,2,1,0,1,0,0,,
77,4PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,0,0,0,1,1,0,,
79,4PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,1,0,0,1,0,0,,
87,5PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,1,0,1,0,0,,
89,5PM,10/12/2021,ColumbiaCity,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,W,2,1,0,0,0,0,,
0,09AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,2,0,0,0,0,0,,
6,09AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,0,1,0,0,0,0,,
10,10AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,2,0,1,0,0,0,,
16,10AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,2,0,0,0,0,0,,
20,11AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,4,1,1,0,0,0,,
26,11AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,2,1,0,0,0,0,,
30,12AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,4,0,1,0,0,0,,
36,12AM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,1,1,0,0,0,0,1 UPS truck,
40,1PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,1,0,1,0,0,0,,
46,1PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,2,0,0,0,0,0,,
50,2PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,3,0,0,0,0,0,,
56,2PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,1,0,0,0,0,0,,
60,3PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,2,1,0,0,1,0,,
66,3PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,1,0,0,1,0,0,,
70,4PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,2,0,0,0,1,0,,
76,4PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,1,1,0,1,0,0,,
80,5PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,N,3,0,0,0,0,0,,
86,5PM,10/12/2021,ColumbiaCity,20186,S FERDINAND ST BETWEEN 37TH AVE S AND RAINIER AVE S,S,1,1,0,1,0,0,,
3,09AM,10/12/2021,ColumbiaCity,19964,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,5,0,0,0,0,0,on street dining on west end,https://idax.blob.core.windows.net/images/77911e8f-de02-4875-bedb-19aed26afb58-mobile.jpg
8,09AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,3,0,0,0,0,0,no parking in parallel parking area (west end of sidewalk),https://idax.blob.core.windows.net/images/014d0116-7a31-4585-aa03-4f0cab29c749-mobile.jpg
13,10AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,5,0,0,0,1,0,,
18,10AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,8,0,0,0,0,0,,
23,11AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,5,0,0,0,0,0,,
28,11AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,7,0,0,1,0,0,,
33,12AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,2,0,0,0,0,0,,
38,12AM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,3,0,0,1,0,0,,
43,1PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,4,0,0,1,0,0,,
48,1PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,5,0,0,2,0,0,,
53,2PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,5,0,0,1,0,0,,
58,2PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,4,0,0,2,0,0,,
63,3PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,6,0,0,1,0,0,,
68,3PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,S,7,0,0,1,0,0,,
73,4PM,10/12/2021,ColumbiaCity,65042,S FERDINAND ST BETWEEN RAINIER AVE S AND 39TH AVE S,N,5,0,0,0,0,0,,
