,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
4,08AM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,1,0,,
44,09AM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,0,0,0,0,0,0,,
54,10AM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,0,0,0,0,0,,
64,11AM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,5,0,0,0,0,0,,
74,12PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,4,0,0,0,0,0,,
84,1PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,6,0,0,0,0,0,,
94,2PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,5,0,0,1,0,0,,
104,3PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,3,0,0,0,0,0,,
114,4PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,0,0,,
14,5PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,7,0,0,0,0,0,,
24,6PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,7,0,0,0,0,0,,
34,7PM,4/22/2022,ColumbiaCity,RPZ 29,5802,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,8,0,0,0,0,0,,
1,08AM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,2,0,0,0,0,0,,
41,09AM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
51,10AM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
61,11AM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
71,12PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,2,0,0,0,0,,
81,1PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
91,2PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,0,0,0,0,0,,
101,3PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,3,0,0,0,0,0,,
111,4PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,0,0,0,0,0,,
11,5PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,4,1,0,0,0,0,,
21,6PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,0,0,0,0,0,,
31,7PM,4/22/2022,ColumbiaCity,RPZ 29,35022,RAINIER AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,E,5,1,0,0,0,0,,
7,08AM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,0,0,0,0,0,,
47,09AM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,0,0,,
57,10AM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,3,0,0,0,0,0,,
67,11AM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,0,0,,
77,12PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,1,0,0,0,0,,
87,1PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,0,0,,
97,2PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,1,0,0,0,0,,
107,3PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,1,1,0,0,0,0,,
117,4PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,3,0,0,0,0,0,,
17,5PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,0,0,,
27,6PM,4/22/2022,ColumbiaCity,RPZ 29,12402,RAINIER AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,E,2,0,0,0,0,0,,
