,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
333,08AM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,2,2,0,2,0,0,,
358,09AM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,0,1,0,3,0,0,,
383,10AM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,1,2,0,3,0,0,,
408,11AM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,0,2,0,3,0,0,,
433,12PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,1,2,0,3,0,0,,
476,1PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,1,1,0,3,0,0,,
501,2PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,3,1,0,1,0,0,,
526,3PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,0,0,0,0,0,,
551,4PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,5,1,0,0,0,0,,
576,5PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,2,0,0,0,0,,
601,6PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,5,1,0,0,0,0,,
626,7PM,4/29/2022,ComCoreRetailS,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,2,0,0,0,0,,
325,08AM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,no cars; temp no stop,https://idax.blob.core.windows.net/images/1edad19b-bc9f-42d9-ba64-953416079044-mobile.jpg
350,09AM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,9,0,0,0,0,0,,
375,10AM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,10,0,0,0,0,0,,
400,11AM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,10,0,0,0,0,0,,
425,12PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,10,0,0,0,0,0,,
468,1PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,9,0,0,0,0,0,,
493,2PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,8,0,0,0,0,0,,
518,3PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,3,0,0,0,0,0,,
543,4PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,,
568,5PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,,
593,6PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,,
618,7PM,4/29/2022,ComCoreRetailS,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,9,0,0,0,0,0,,
80,08AM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,1,0,0,0,0,1,,"https://idax.blob.core.windows.net/images/1959a52b-4c43-4744-bd75-c7b66da61739-mobile.jpg,https://idax.blob.core.windows.net/images/7e8a2d73-66ad-493c-9da0-c48bbd34914a-mobile.jpg,https://idax.blob.core.windows.net/images/738b7448-7403-40b4-ada9-9f9b061f3130-mobile.jpg,https://idax.blob.core.windows.net/images/79b2f367-44ae-48e5-ad53-4658bd3cbb21-mobile.jpg,https://idax.blob.core.windows.net/images/29cad757-f40a-4875-9908-cb34cd4045b2-mobile.jpg,https://idax.blob.core.windows.net/images/56e5d772-de47-4a8d-8dc1-3f3391dc0e22-mobile.jpg"
99,09AM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,2,1,0,0,0,1,,
118,10AM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,1,1,0,1,0,0,,
137,11AM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,1,3,0,1,0,0,,
156,12PM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,2,1,0,0,0,0,,
175,1PM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,1,0,0,1,0,0,,
194,2PM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,2,0,0,0,0,0,,
231,3PM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,0,0,0,0,0,,
250,4PM,4/29/2022,ComCoreRetailE,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,0,0,0,0,2,,
