,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures,,,,
299,10AM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,1,0,0,0,0,0,,,,,,
405,11AM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,1,0,0,0,0,0,,,,,,
427,12PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,,,,,
449,1PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,,,,,
471,2PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,,,,,
493,3PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,1,0,0,0,0,,,,,,
515,4PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,1,0,0,0,0,0,,,,,,
537,5PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,,,,,
31,6PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,,,,,
53,7PM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,,,,,
9,9AM,10/9/2021,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,1,0,0,0,0,0,bus only except 1 -2 paid load spot, paid is truck taking 2 space,https://idax.blob.core.windows.net/images/abb64969-50c7-47f4-9a93-0f20cb7d8a0b-mobile.jpg,,,
305,10AM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
411,11AM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
433,12PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
455,1PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
477,2PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
499,3PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
521,4PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
543,5PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
37,6PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
59,7PM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,,,,,
15,9AM,10/9/2021,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/19352425-de30-4032-911d-2cfb2cc76881-mobile.jpg,https://idax.blob.core.windows.net/images/e710e712-647a-4ea6-ad60-b77ba5c6bb23-mobile.jpg,https://idax.blob.core.windows.net/images/fb0e0ff3-bec3-4d9a-b806-4744762f8685-mobile.jpg",,,,
302,10AM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
408,11AM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,1,0,0,0,0,0,paid load,,,,,
430,12PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
452,1PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
474,2PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
496,3PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
518,4PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
540,5PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
34,6PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
56,7PM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,,,,,
12,9AM,10/9/2021,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,https://idax.blob.core.windows.net/images/328b4167-e682-4d43-bbd5-df3bba696d66-mobile.jpg,,,,
95,10AM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,,,,,
123,11AM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,,,,,
151,12PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,,,,,
179,1PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,1,one person idle in no stop zone,,,,,
207,2PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,no paid parking on east side of block ,,,,,
235,3PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,no cars, no stops, bus only ,,,
263,4PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,no cars, no stops, bus only ,,,
313,5PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,no cars, no stops, bus only ,,,
341,6PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,no cars, no stops, bus only ,,,
369,7PM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,no cars, no stops, bus only ,,,
67,9AM,10/9/2021,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,one load zone - no parking,,,,,
107,10AM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,2,0,3,0,0,,,,,,
135,11AM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,4,2,0,3,0,0,,,,,,
163,12PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,2,0,3,0,0,,,,,,
191,1PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,1,0,3,0,0,,,,,,
219,2PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,2,0,4,0,0,,,,,,
247,3PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,2,0,3,0,0,,,,,,
275,4PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,3,0,2,0,0,,,,,,
325,5PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,4,2,0,1,0,0,,,,,,
353,6PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,5,1,0,1,0,0,,,,,,
381,7PM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,2,2,0,1,0,0,,,,,,
79,9AM,10/9/2021,CommCoreFinN,NO RPZ,7250,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,3,2,0,3,0,0,,,,,,
109,10AM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,0,3,0,0,0,0,,,,,,
137,11AM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,0,3,0,0,0,0,,,,,,
165,12PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,1,4,0,0,0,0,,,,,,
193,1PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,1,2,0,0,0,0,,,,,,
221,2PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,2,1,0,0,0,0,,,,,,
249,3PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,2,0,0,0,0,0,,,,,,
277,4PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,4,0,0,0,0,0,,,,,,
327,5PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,2,0,0,1,0,0,,,,,,
355,6PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,2,0,0,1,0,0,,,,,,
383,7PM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,1,0,0,1,0,0,,,,,,
81,9AM,10/9/2021,CommCoreFinN,NO RPZ,9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,0,3,0,0,0,0,load zones - non-con vehicles are paid,https://idax.blob.core.windows.net/images/27bd57cd-e3e0-43ed-b962-4cde9775fb6f-mobile.jpg,,,,
294,10AM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,3,0,0,1,0,0,,,,,,
400,11AM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,2,2,0,1,0,0,,,,,,
422,12PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,4,2,0,0,0,0,,,,,,
444,1PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,1,2,0,0,0,0,,,,,,
466,2PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,3,1,0,0,0,0,,,,,,
488,3PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,4,1,0,0,0,0,,,,,,
510,4PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,5,0,0,0,0,0,,,,,,
532,5PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,4,1,0,0,0,0,,,,,,
26,6PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,3,0,0,0,0,0,,,,,,
48,7PM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,4,0,0,0,0,0,,,,,,
4,9AM,10/9/2021,CommCoreFinS,NO RPZ,9770,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,4,1,0,1,0,0,,"https://idax.blob.core.windows.net/images/5630dddf-7b59-42d1-8cad-d73716997c7a-mobile.jpg,https://idax.blob.core.windows.net/images/21529dd7-84ac-486c-b662-3239e20fac74-mobile.jpg",,,,
301,10AM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,14,0,0,2,0,0,,,,,,
407,11AM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,14,0,0,2,0,0,,,,,,
