,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
9,08AM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,
293,09AM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,1,0,0,0,0,,
455,10AM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,1,0,0,0,0,,
477,11AM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,1,,
499,12PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,
521,1PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,
543,2PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,2,0,0,0,0,,
565,3PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,1,0,0,0,0,,
587,4PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,2,0,0,0,0,,
31,5PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,2,0,0,0,0,,
53,6PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,
75,7PM,5/9/2022,CommCoreFinS,NO RPZ,6170,4TH AVE BETWEEN JEFFERSON ST AND JAMES ST,NE,0,0,0,0,0,0,,
15,08AM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
299,09AM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,1,0,0,0,0,0,,
461,10AM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
483,11AM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
505,12PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
527,1PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
549,2PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
571,3PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
593,4PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
37,5PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
59,6PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
81,7PM,5/9/2022,CommCoreFinS,NO RPZ,6174,4TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,0,0,0,0,0,0,,
12,08AM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
296,09AM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
458,10AM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
480,11AM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,1,0,0,0,0,,
502,12PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,1,0,0,0,0,,
524,1PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
546,2PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
568,3PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
590,4PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
34,5PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
56,6PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
78,7PM,5/9/2022,CommCoreFinS,NO RPZ,6178,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,0,0,0,0,0,0,,
89,08AM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,https://idax.blob.core.windows.net/images/17fc6753-1201-4601-9275-90378cdc1211-mobile.jpg
117,09AM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
145,10AM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
173,11AM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
201,12PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
229,1PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
257,2PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
307,3PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
335,4PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
363,5PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
391,6PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
419,7PM,5/9/2022,CommCoreFinN,NO RPZ,6186,4TH AVE BETWEEN SPRING ST AND SENECA ST,NE,0,0,0,0,0,0,,
