,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
15,09AM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,1,0,0,0,0,,
242,10AM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,1,0,0,0,0,,
457,11AM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,2,3,0,0,0,0,,
666,12PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,5,0,0,0,0,0,,
781,1PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,1,4,0,0,0,0,,
806,2PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,1,2,0,0,0,2,commercial parked vehicles in no park zone,https://idax.blob.core.windows.net/images/6d9e42fb-cdf9-4ef2-8cc2-ec4bd1aab142-mobile.jpg
831,3PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,2,2,0,0,0,1,,https://idax.blob.core.windows.net/images/75c435d2-4838-4f5f-ba51-ddb0de93bb7a-mobile.jpg
856,4PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,2,0,0,0,0,1,,
881,5PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,2,1,0,0,0,0,,
40,6PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,5,3,0,0,0,1,,
65,7PM,10/19/2021,ComCoreRetail-South,NO RPZ,1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,0,0,0,0,0,,
7,09AM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,,
234,10AM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,7,0,0,0,0,0,,
449,11AM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,9,0,0,0,0,0,,
658,12PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,10,0,0,0,0,0,,
773,1PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,9,0,0,0,0,0,,
798,2PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,10,0,0,0,0,0,,
823,3PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,3,no parking 3 to 7pm,https://idax.blob.core.windows.net/images/ba23765b-fff8-40c8-987d-27dab1719e36-mobile.jpg
848,4PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,no parking 3 to 7pm,
873,5PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,no parking 3 to 7pm,
32,6PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,0,0,0,0,0,0,no parking 3 to 7pm,
57,7PM,10/19/2021,ComCoreRetail-South,NO RPZ,1014,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,2,0,0,0,0,0,,
317,09AM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,2,2,0,0,0,0,1 taxi;not counting taxis in taxi only zones anywhere for this and subsequent runs,"https://idax.blob.core.windows.net/images/9448e329-94b3-4810-98b8-e7be53ac660a-mobile.jpg,https://idax.blob.core.windows.net/images/0f4b7143-dad4-42d2-a9db-5218a88ef771-mobile.jpg,https://idax.blob.core.windows.net/images/fa310860-407b-4696-a996-9cbd7ccdadcc-mobile.jpg,https://idax.blob.core.windows.net/images/dee9ce08-033c-4c52-b279-8b1cf9750f8c-mobile.jpg,https://idax.blob.core.windows.net/images/950e817a-201d-4992-bf30-00e943b102df-mobile.jpg,https://idax.blob.core.windows.net/images/1a5e63a5-5966-4db0-8da5-8ef2a8803001-mobile.jpg,https://idax.blob.core.windows.net/images/b45134fd-ba2d-4d8d-9ff0-e051107874bd-mobile.jpg"
336,10AM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,2,1,0,0,0,0,1 taxi stand also,
355,11AM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,3,0,0,0,0,1 taxi stand,
374,12PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,2,2,0,0,0,1,,
393,1PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,1,2,0,0,0,0,,
412,2PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,1,1,0,0,0,1,,
431,3PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,0,0,0,0,3,no parking 3 to 7pm,
475,4PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,0,0,0,0,0,no parking 3 to 7pm,
494,5PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,0,0,0,0,4,no parking 3 to 7pm,
513,6PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,0,0,0,0,1,no parking 3 to 7pm,
532,7PM,10/19/2021,ComCoreRetail-East,NO RPZ,7989,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,0,1,0,0,0,1,illegal straddling never parking zone and taxi stand. not taxi,
551,09AM,10/19/2021,ComCoreRetail-North,NO RPZ,7993,6TH AVE BETWEEN PINE ST AND OLIVE WAY,SW,0,0,0,0,0,0,,https://idax.blob.core.windows.net/images/d4cdf464-dd69-4897-b85f-0113a7d4f9f3-mobile.jpg
569,10AM,10/19/2021,ComCoreRetail-North,NO RPZ,7993,6TH AVE BETWEEN PINE ST AND OLIVE WAY,SW,0,0,0,0,0,0,No parked cars - idle cars only.,
587,11AM,10/19/2021,ComCoreRetail-North,NO RPZ,7993,6TH AVE BETWEEN PINE ST AND OLIVE WAY,SW,0,0,0,0,0,0,,
605,12PM,10/19/2021,ComCoreRetail-North,NO RPZ,7993,6TH AVE BETWEEN PINE ST AND OLIVE WAY,SW,0,0,0,0,0,0,,
623,1PM,10/19/2021,ComCoreRetail-North,NO RPZ,7993,6TH AVE BETWEEN PINE ST AND OLIVE WAY,SW,0,3,0,0,0,0,,
