,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
32,09AM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,5,1,0,0,0,0,,
149,10AM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,5,2,0,1,0,0,,
188,11AM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,4,2,0,1,1,0,,
227,12PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,5,1,0,1,1,0,,
266,1PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,3,1,0,1,1,0,,
422,2PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,5,2,0,0,0,0,,
344,3PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,6,1,0,0,1,0,,
71,4PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,8,0,0,0,0,0,,
305,5PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,6,0,0,1,0,0,,
110,6PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,7,0,0,0,0,0,,
383,7PM,10/21/2021,ComCoreWF,,1006,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,NE,6,0,0,1,0,0,,
6,09AM,10/21/2021,ComCoreWF,,1009,1ST AVE BETWEEN MADISON ST AND SPRING ST,SW,3,0,0,0,0,0,,
123,10AM,10/21/2021,ComCoreWF,,1009,1ST AVE BETWEEN MADISON ST AND SPRING ST,SW,4,0,0,0,0,0,,
162,11AM,10/21/2021,ComCoreWF,,1009,1ST AVE BETWEEN MADISON ST AND SPRING ST,SW,3,1,0,0,0,0,,
201,12PM,10/21/2021,ComCoreWF,,1009,1ST AVE BETWEEN MADISON ST AND SPRING ST,SW,1,2,0,0,0,0,,
240,1PM,10/21/2021,ComCoreWF,,1009,1ST AVE BETWEEN MADISON ST AND SPRING ST,SW,1,1,0,0,0,0,,
