,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
331,08AM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,2,0,0,2,1,,
353,09AM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,5,3,0,1,2,0,,
375,10AM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,5,4,0,0,1,0,,
397,11AM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,2,0,0,1,0,,
419,12PM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,8,1,0,0,0,0,,
441,1PM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,3,0,0,0,2,,
463,2PM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,7,2,0,0,0,2,,
485,3PM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,5,2,0,0,0,1,,
507,4PM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,3,0,0,0,0,1,,
550,5PM,8/30/2022,DennyTriNWest,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,4,2,0,0,1,1,,
330,08AM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,2,0,0,0,0,,
352,09AM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,1,0,0,0,0,,
374,10AM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,1,0,0,0,0,,
396,11AM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,1,0,0,0,0,0,,
418,12PM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,2,1,0,0,0,0,,
440,1PM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,1,0,0,1,0,0,,
462,2PM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,4,2,0,0,0,2,,
484,3PM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,1,0,0,0,0,0,,
506,4PM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,4,0,0,0,0,0,,
549,5PM,8/30/2022,DennyTriNWest,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,3,0,0,0,0,0,,
