,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
231,09AM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,15,0,0,0,0,0,,
277,10AM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,9,2,0,0,0,0,,
298,11AM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,12,3,0,0,0,0,,
319,12PM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,10,1,0,0,1,0,,
340,1PM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,11,1,0,0,0,0,,
361,2PM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,9,3,0,0,1,0,,
382,3PM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,11,0,0,0,0,0,,
403,4PM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,10,0,0,0,1,0,,
424,5PM,10/15/2021,DennyTriNorth-West,NO RPZ,8005,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,11,0,0,0,1,0,,
230,09AM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,0,0,0,0,0,,
276,10AM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,0,0,0,0,0,,
297,11AM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,4,0,0,0,0,,
318,12PM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,4,0,0,0,0,,
339,1PM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,3,0,0,0,0,,
360,2PM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,4,0,0,0,0,,
381,3PM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,4,1,0,0,0,0,,
402,4PM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,1,1,0,0,0,0,,
423,5PM,10/15/2021,DennyTriNorth-West,NO RPZ,8393,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,0,3,0,0,0,0,,
226,09AM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,2,0,0,0,0,,
272,10AM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,2,0,0,0,0,,
293,11AM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,2,0,0,0,0,,
314,12PM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,2,0,0,0,0,,
335,1PM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,1,0,0,0,0,,
356,2PM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,1,0,0,0,0,,
377,3PM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,0,2,0,0,0,0,,
398,4PM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,1,0,0,0,0,,
419,5PM,10/15/2021,DennyTriNorth-West,NO RPZ,8394,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,4,1,0,0,0,0,,
234,09AM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,3,0,0,0,0,0,,
280,10AM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,4,0,0,0,0,0,,
301,11AM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,6,0,0,0,0,0,,
322,12PM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,6,0,0,0,0,0,,
343,1PM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,7,0,0,0,0,0,,
364,2PM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,5,0,0,0,0,0,,
385,3PM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,3,0,0,1,0,0,,
406,4PM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,2,0,0,0,0,0,,
427,5PM,10/15/2021,DennyTriNorth-West,NO RPZ,8397,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,2,0,0,0,0,0,,
228,09AM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,5,0,0,0,0,0,,
274,10AM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,5,0,0,0,0,0,,
295,11AM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,5,0,0,0,0,0,,
316,12PM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,4,0,0,0,1,0,,
337,1PM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,4,0,0,0,0,0,,
358,2PM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,5,0,0,0,0,0,,
379,3PM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,5,0,0,0,0,0,,
400,4PM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,4,0,0,0,0,0,,
421,5PM,10/15/2021,DennyTriNorth-West,NO RPZ,8398,8TH AVE BETWEEN BELL ST AND DENNY WAY,NE,3,0,0,0,0,0,,
13,09AM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,8,2,0,2,0,0,,
248,10AM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,9,1,0,2,0,0,,
441,11AM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,8,0,0,3,0,0,,
466,12PM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,8,0,0,2,0,0,,
491,1PM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,8,0,0,2,0,0,,
516,2PM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,7,1,0,2,0,0,,
541,3PM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,8,0,0,3,0,0,,
566,4PM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,11,0,0,2,0,0,,
591,5PM,10/15/2021,DennyTriNorth-East,NO RPZ,8614,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,11,0,0,0,0,0,,
33,09AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,4,0,0,2,0,0,,
54,10AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,3,0,0,2,0,0,,
75,11AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,3,0,0,2,0,0,,"https://idax.blob.core.windows.net/images/270f37d7-1425-49b0-8077-9af676e29057-mobile.jpg,https://idax.blob.core.windows.net/images/c377e2e8-77cf-471b-8193-6f3ec49dc63f-mobile.jpg"
96,12PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,3,0,0,2,0,0,,
117,1PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,3,1,0,2,0,0,,
138,2PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,3,1,0,2,0,0,,
159,3PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,4,1,0,2,0,0,,
180,4PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,2,0,0,2,0,0,,
201,5PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8617,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,4,1,0,2,0,0,,
27,09AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,1,0,0,0,0,,
48,10AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,0,0,0,0,0,,
69,11AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/719cb0dc-f6dc-4949-9136-0bbba3b7db35-mobile.jpg,https://idax.blob.core.windows.net/images/bd8b8598-cf43-440d-b9ca-c4f35893253f-mobile.jpg"
90,12PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,3,1,0,0,0,0,,
111,1PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,3,1,0,0,0,0,,
132,2PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,3,1,0,0,0,0,,
153,3PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,0,0,0,0,0,,
174,4PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,4,2,0,0,0,0,,
195,5PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8618,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,0,0,0,0,0,,
45,09AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,0,4,0,0,0,0,,
66,10AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,0,2,0,0,0,0,,
87,11AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,0,3,0,0,0,0,,"https://idax.blob.core.windows.net/images/66527690-271d-4c71-b4de-c3ede1c01833-mobile.jpg,https://idax.blob.core.windows.net/images/0beec4e1-2d62-4c0a-8222-a3ef475a4847-mobile.jpg,https://idax.blob.core.windows.net/images/abac656b-0234-4db8-aa1a-ac4ab8857bc6-mobile.jpg,https://idax.blob.core.windows.net/images/ac6f6a71-6cf4-46dd-bd40-67b446206942-mobile.jpg"
108,12PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,0,2,0,0,0,0,,
129,1PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,0,1,0,0,0,0,1 load zone is ada,
150,2PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,2,1,0,0,0,0,,
171,3PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,1,1,0,0,0,0,,
192,4PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,1,2,0,0,0,0,,
213,5PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8621,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,SW,0,0,0,0,0,0,,
37,09AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,3,illegal all food zone,https://idax.blob.core.windows.net/images/6ecc999b-9989-4067-a252-fad4b36b367b-mobile.jpg
58,10AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,2,illegal all food zone,
79,11AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,3,illegal all food zone,
100,12PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,2,illegal in food zone,
121,1PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,3,illegals are in food zone,
142,2PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,2,illegal in food zone,
163,3PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,1,illegal in food zone,
184,4PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,2,illegal in food zone,
205,5PM,10/15/2021,DennyTriNorth-Mid,NO RPZ,8622,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,0,0,0,0,0,0,,
41,09AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,9361,BLANCHARD ST BETWEEN 8TH AVE AND WESTLAKE AVE,NW,0,1,0,0,0,0,,
62,10AM,10/15/2021,DennyTriNorth-Mid,NO RPZ,9361,BLANCHARD ST BETWEEN 8TH AVE AND WESTLAKE AVE,NW,0,1,0,0,0,0,,
