,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
19,08AM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,2,0,0,2,0,0,,
111,09AM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,2,0,0,2,0,0,,
134,10AM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
157,11AM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
180,12PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
203,1PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
226,2PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,3,0,0,,
249,3PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
272,4PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,1,0,0,,
42,5PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,3,0,0,,
65,6PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,2,0,0,3,0,0,,
88,7PM,8/19/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
1,08AM,8/19/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,5,0,0,0,0,0,,
93,09AM,8/19/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,11,1,0,0,0,0,,
116,10AM,8/19/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,1,0,0,0,0,,
139,11AM,8/19/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,8,1,0,1,0,0,,
