,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Complete,Pictures
19,09AM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,0,0,0,,TRUE,
88,10AM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,6,0,0,0,0,0,,TRUE,
111,11AM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,6,0,0,0,0,0,,TRUE,
134,12AM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,0,0,0,,TRUE,
157,1PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,0,0,0,,TRUE,
180,2PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,0,0,0,,TRUE,
203,3PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,6,0,0,0,0,0,,TRUE,
226,4PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,0,0,0,,TRUE,
249,5PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,0,0,0,,TRUE,
42,6PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,6,0,0,0,0,0,,TRUE,
65,7PM,10/11/2021,DennyTriSouth,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,0,0,0,,TRUE,
1,09AM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,0,0,0,0,0,,TRUE,
70,10AM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,11,0,0,1,0,0,1 utility counted paid making it hard to park at end of block,TRUE,https://idax.blob.core.windows.net/images/5ff4587d-84f1-45ea-b371-9a8677c4389f-mobile.jpg
93,11AM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,1,0,0,0,0,,TRUE,"https://idax.blob.core.windows.net/images/3c5ac7df-c3ea-4744-83af-f55cd7890e56-mobile.jpg,https://idax.blob.core.windows.net/images/5ed1026e-60df-469a-8596-19e8c1783706-mobile.jpg,https://idax.blob.core.windows.net/images/4a623a8a-3edd-4853-a42c-7920ebfd9d4f-mobile.jpg"
116,12AM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,11,0,0,1,0,0,,TRUE,
139,1PM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,2,0,1,0,0,,TRUE,
162,2PM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,1,0,0,0,0,,TRUE,
185,3PM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,8,1,0,1,0,0,,TRUE,
208,4PM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,8,2,0,1,0,0,,TRUE,
231,5PM,10/11/2021,DennyTriSouth,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,3,0,0,0,0,,TRUE,
