,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
19,08AM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,2,0,0,,
111,09AM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,2,0,0,,
134,10AM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,1,0,0,,
157,11AM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,6,0,0,0,0,0,,
180,12PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,6,0,0,0,0,0,,
203,1PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,2,0,0,,
226,2PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,0,0,1,0,0,,
249,3PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,2,0,0,,
272,4PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
42,5PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,2,0,0,,
65,6PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,4,0,0,2,0,0,,
88,7PM,5/3/2022,DennyTriS,NO RPZ,7997,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,3,0,0,2,0,0,,
1,08AM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,2,0,0,1,0,0,,
93,09AM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,6,1,0,1,0,0,,
116,10AM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,6,1,0,2,0,0,,
139,11AM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,0,0,2,0,0,,
162,12PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,9,1,0,2,0,0,,
185,1PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,2,0,2,0,0,,
208,2PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,1,0,2,1,0,,
231,3PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,12,0,0,2,1,0,,
254,4PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,13,1,0,0,0,0,,
24,5PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,11,1,0,1,0,0,,
47,6PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,11,0,0,1,0,0,,
70,7PM,5/3/2022,DennyTriS,NO RPZ,8001,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,1,0,1,0,0,,
5,08AM,5/3/2022,DennyTriS,NO RPZ,8002,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,0,2,0,0,0,0,,
97,09AM,5/3/2022,DennyTriS,NO RPZ,8002,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,0,4,0,0,0,0,,
120,10AM,5/3/2022,DennyTriS,NO RPZ,8002,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,0,4,0,0,0,0,,
143,11AM,5/3/2022,DennyTriS,NO RPZ,8002,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,2,1,0,0,0,0,,
166,12PM,5/3/2022,DennyTriS,NO RPZ,8002,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,2,4,0,1,0,0,,
189,1PM,5/3/2022,DennyTriS,NO RPZ,8002,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,2,1,0,1,0,0,,
