,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
133,10AM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,4,1,0,3,0,0,,
160,11AM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,3,1,0,3,0,0,,
187,12PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,3,1,0,2,0,0,,
214,1PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,2,0,0,2,0,0,,
241,2PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,3,1,0,2,0,0,,
268,3PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,4,1,0,3,0,0,,
295,4PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,3,2,0,3,0,0,,
350,5PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,5,1,0,0,0,0,,
377,6PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,6,0,0,2,0,0,,
404,7PM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,4,0,0,2,0,0,,
106,9AM,11/23/2021,1stHillWest,,8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,5,0,0,2,0,0,,
121,10AM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,2,1,1,0,0,0,,
148,11AM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,3,2,0,0,0,1,,https://idax.blob.core.windows.net/images/3800e116-e6d7-4a71-a431-94ef9f57be81-mobile.jpg
175,12PM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,3,3,0,0,0,1,,
202,1PM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,4,3,0,0,0,1,,https://idax.blob.core.windows.net/images/4be8f4db-5c69-45b6-b4a9-0e9a4b99e317-mobile.jpg
229,2PM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,4,2,0,0,0,2,,https://idax.blob.core.windows.net/images/1d9fdc1e-8188-43a4-a6c7-dde634f4485c-mobile.jpg
256,3PM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,0,3,3,0,0,1,,https://idax.blob.core.windows.net/images/f2ea6d74-8a48-4bf2-a165-dd02f41747ae-mobile.jpg
283,4PM,11/23/2021,1stHillWest,,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,4,2,0,0,0,1,,
