,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
8,08AM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,1,1,0,2,0,0,,
223,09AM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,3,1,0,1,0,0,,
445,10AM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,5,0,0,1,0,0,,
674,11AM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,3,1,0,1,0,0,,
693,12PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,2,1,0,1,0,0,,
712,1PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,2,1,0,1,0,0,,
731,2PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,2,1,0,1,0,0,,
750,3PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,2,1,0,1,0,0,,
769,4PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,1,4,0,0,0,0,,
27,5PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,1,3,0,1,0,0,,
46,6PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,1,2,0,1,0,0,,
65,7PM,8/25/2022,1stHillWest,NO RPZ,8369,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,4,2,0,1,0,0,,
