,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
6,09AM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,2,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/45a3c71f-947f-4e93-83ac-85346dcc30ae-mobile.jpg,https://idax.blob.core.windows.net/images/a1bea277-9da1-4b1a-ba73-685e74edfbb7-mobile.jpg,https://idax.blob.core.windows.net/images/531bc24f-e220-41f7-b185-7bcaf95bd0e3-mobile.jpg"
17,10AM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,4,2,0,0,0,0,semi truck in load is also taking up a paid space,
28,11AM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,4,1,0,0,1,0,,
39,12PM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,3,1,1,0,1,0,,
50,1PM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,3,0,0,0,1,0,,
61,2PM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,3,1,0,0,0,0,,
72,3PM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,4,2,0,0,0,0,,
83,4PM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,6,0,0,0,0,0,,
94,5PM,10/21/2021,Fremont,RPZ 27,10277,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,W,5,1,0,0,0,0,,
0,09AM,10/21/2021,Fremont,RPZ 27,10278,EVANSTON AVE N BETWEEN N 34TH ST AND N 35TH ST,E,2,0,0,0,1,0,,"https://idax.blob.core.windows.net/images/f9a93df3-66ab-4966-9db9-715321fb589c-mobile.jpg,https://idax.blob.core.windows.net/images/1c8ef388-96ff-43aa-907f-3cc8c845359e-mobile.jpg,https://idax.blob.core.windows.net/images/35b38661-b3f9-4f5f-96d5-1a5d0295093a-mobile.jpg"
