,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
4,09AM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,0,0,0,0,0,0,,https://idax.blob.core.windows.net/images/e341154a-a222-4c01-a207-520e55a546c2-mobile.jpg
64,10AM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,2,0,0,0,0,0,,
84,11AM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,2,0,0,0,0,0,,
104,12PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,1,0,0,0,0,0,,
124,1PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,1,0,0,0,0,0,,
144,2PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,2,0,0,0,0,0,,
164,3PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,2,0,0,0,0,0,,
184,4PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,0,0,0,0,0,0,,
204,5PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,1,0,0,0,0,0,,
24,6PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,1,0,0,0,0,0,,
44,7PM,10/25/2021,Greenlake,NO RPZ,17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,2,0,0,0,0,0,,
19,09AM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,0,0,0,0,0,0,,
79,10AM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,2,0,0,0,0,0,,
99,11AM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,2,0,0,0,0,0,,
119,12PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,2,0,0,0,0,0,,
139,1PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,1,0,0,0,0,0,,
159,2PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,3,0,0,0,0,0,,
179,3PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,1,0,0,0,0,0,,
199,4PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,3,0,0,0,0,0,,
219,5PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,1,0,0,0,0,0,,
39,6PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,0,0,0,0,0,0,,
59,7PM,10/25/2021,Greenlake,NO RPZ,17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,0,0,0,0,0,0,,
9,09AM,10/25/2021,Greenlake,NO RPZ,17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,2,0,0,0,0,0,,
69,10AM,10/25/2021,Greenlake,NO RPZ,17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,4,2,0,0,0,0,,
89,11AM,10/25/2021,Greenlake,NO RPZ,17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,2,2,0,0,0,0,,
109,12PM,10/25/2021,Greenlake,NO RPZ,17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,4,2,0,0,0,0,,
129,1PM,10/25/2021,Greenlake,NO RPZ,17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,3,1,0,0,0,0,,
149,2PM,10/25/2021,Greenlake,NO RPZ,17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,0,5,0,0,0,0,,
