,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
0,08AM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,1,0,0,1,0,0,,https://idax.blob.core.windows.net/images/4d4345c6-723c-41e9-ad99-fd47ac1d9cf6-mobile.jpg
305,09AM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
564,10AM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,2,0,0,0,0,0,,
711,11AM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
738,12PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
765,1PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,1,0,0,0,0,0,,
792,2PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,1,0,0,0,0,0,,
819,3PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
846,4PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
846,5PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
27,6PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,1,,
54,7PM,4/26/2022,IDS,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,5,0,0,2,0,0,,
1,08AM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,0,0,0,,
306,09AM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,6,0,0,1,0,0,,
565,10AM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,1,0,0,,
712,11AM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,5,0,0,1,0,0,,
739,12PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,1,0,1,,
766,1PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,1,0,0,,
793,2PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,1,0,0,,
820,3PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,1,0,0,,
847,4PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,1,0,0,,
847,5PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,1,0,0,,
28,6PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,0,1,0,,
55,7PM,4/26/2022,IDS,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,8,0,0,0,0,0,,
458,08AM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,2,0,0,0,0,0,,
478,09AM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,3,0,0,1,0,0,,
498,10AM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,4,0,0,1,0,0,,
518,11AM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,2,0,0,1,0,0,,
538,12PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,6,0,0,0,0,0,,
558,1PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,6,0,0,1,0,0,,
605,2PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,5,0,0,1,0,0,,
625,3PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,4,0,0,0,0,0,,
645,4PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,0,0,0,0,0,,
665,5PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,6,0,0,1,0,0,,
685,6PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,9,0,0,0,0,0,,
705,7PM,4/26/2022,IDN,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,8,0,0,1,0,0,,
451,08AM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,2,0,0,1,0,0,,
471,09AM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,1,0,0,3,0,0,,
491,10AM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,1,1,0,3,0,0,,
511,11AM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,2,1,0,2,0,0,,
531,12PM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,1,0,0,2,0,0,,
551,1PM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,3,0,0,2,0,0,,
598,2PM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,2,0,0,2,0,0,,
618,3PM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,3,0,0,2,0,0,,
638,4PM,4/26/2022,IDN,NO RPZ,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,3,1,0,2,0,0,,
