,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
132,08AM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,https://idax.blob.core.windows.net/images/7ffdc0fb-06c3-48f8-aa6c-7d98b74b9ecc-mobile.jpg
159,09AM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,2,0,0,0,0,0,Community Transit Parking Only M-F,
186,10AM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
213,11AM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
240,12PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,1,Community Transit Parking Only M-F,
267,1PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
294,2PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
349,3PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
376,4PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
403,5PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
430,6PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
457,7PM,9/1/2022,IDSouth,NO RPZ,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,Community Transit Parking Only M-F,
127,08AM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,0,2,0,0,0,0,,
154,09AM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,1,1,0,0,0,1,,
181,10AM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,1,0,0,0,0,,
208,11AM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,0,0,1,,
235,12PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,1,0,0,,
262,1PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,0,0,1,,
289,2PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,2,0,0,0,0,,
344,3PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,1,0,1,0,1,Car parked illeglay in Bus Zone,
371,4PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,5,1,0,0,0,1,Car parked illeglay in Bus Zone,
398,5PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,1,0,1,0,0,,
425,6PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,1,0,1,0,0,,
452,7PM,9/1/2022,IDSouth,NO RPZ,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,0,0,0,,
478,08AM,9/1/2022,IDNorth,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,2,0,0,0,0,0,,
498,09AM,9/1/2022,IDNorth,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,3,0,0,0,0,0,,
518,10AM,9/1/2022,IDNorth,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,3,0,0,0,0,0,,
538,11AM,9/1/2022,IDNorth,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,1,0,1,0,0,,
558,12PM,9/1/2022,IDNorth,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,5,0,0,1,0,0,,
606,1PM,9/1/2022,IDNorth,NO RPZ,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,6,0,0,1,0,0,,
