,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
7,09AM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,4,0,0,,
272,10AM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,2,0,0,2,0,0,,
543,11AM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,0,0,1,0,0,,
695,12PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,1,0,1,0,0,,
722,1PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,6,0,0,0,0,0,,
749,2PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,0,0,2,0,0,,
776,3PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,7,0,0,2,0,0,,
803,4PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,6,0,0,3,0,0,,
830,5PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,0,0,3,0,0,,
34,6PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,6,0,0,2,0,0,,
61,7PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,7,0,0,2,0,0,,
10,09AM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,0,0,0,0,0,,https://idax.blob.core.windows.net/images/90627a7a-85f6-4c37-9267-445097737ed9-mobile.jpg
275,10AM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,0,0,2,0,0,,
546,11AM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,2,0,3,0,0,,
698,12PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,4,0,3,0,0,,
725,1PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,1,0,3,0,0,,
752,2PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,1,0,3,0,0,,
779,3PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,3,0,1,0,0,,
806,4PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,2,0,2,0,0,,
833,5PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,3,4,0,1,0,0,,
37,6PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,3,2,0,2,0,0,,
64,7PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,3,0,2,0,0,,
85,09AM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,1,0,0,2,0,0,,
108,10AM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,1,0,0,,
131,11AM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,1,0,0,6,0,0,,
154,12PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,3,0,0,5,0,0,,
177,1PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,4,0,0,1,0,0,,
200,2PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,7,0,0,,
223,3PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,5,0,0,,
246,4PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,0,0,0,,
296,5PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,5,0,0,,
319,6PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,2,0,0,4,0,0,,
342,7PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,5,2,0,3,0,0,,
86,09AM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,2,0,0,1,0,0,,
109,10AM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,1,0,0,,
132,11AM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,2,0,0,,
155,12PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,2,0,0,,
178,1PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
201,2PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
224,3PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
247,4PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,1,0,0,,
297,5PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,0,0,0,,
320,6PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
343,7PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,3,0,0,,
11,09AM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,1,1,0,0,0,0,,
276,10AM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,0,0,0,2,0,0,,
547,11AM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,1,1,0,1,0,0,,
699,12PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,2,0,0,2,0,0,,
726,1PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,1,1,0,1,0,0,,
753,2PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,0,1,0,2,0,0,,
780,3PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,3,0,0,1,0,0,,
807,4PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,1,1,0,2,0,0,,
834,5PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,1,1,0,2,0,0,,
38,6PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,0,1,0,3,0,0,,
65,7PM,10/26/2021,ID-Mid,,20841,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,0,1,0,2,0,1,illegal is idle on corner,
14,09AM,10/26/2021,ID-Mid,,20842,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,S,1,2,0,2,0,0,bus in load zone,
279,10AM,10/26/2021,ID-Mid,,20842,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,S,2,0,0,1,0,0,,
550,11AM,10/26/2021,ID-Mid,,20842,S KING ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,S,3,0,0,1,0,0,,
