,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
97,09AM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
120,10AM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
143,11AM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
166,12PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
189,1PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
212,2PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
235,3PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
258,4PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
308,5PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,1,0,0,0,0,0,,
331,6PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
354,7PM,10/26/2021,ID-S,,7397,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
92,09AM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,0,0,0,,
115,10AM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,2,0,0,1,0,0,,
138,11AM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,1,0,0,,
161,12PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,2,0,1,0,0,,
184,1PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,1,0,0,,
207,2PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,0,0,0,,
230,3PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,2,0,1,0,0,,
253,4PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,0,0,0,,
303,5PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,3,0,0,0,0,0,,
326,6PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,0,0,0,,
349,7PM,10/26/2021,ID-S,,7398,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,E,4,0,0,0,0,0,,
380,09AM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,0,0,1,0,0,,
405,10AM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,3,0,0,2,0,0,,
430,11AM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,1,0,1,0,0,,
455,12PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,5,0,0,1,0,0,,
480,1PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,0,0,1,0,0,,
505,2PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,0,0,2,0,0,,
530,3PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,6,0,0,2,0,0,,
582,4PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,0,0,1,0,0,,
607,5PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,5,0,0,2,0,0,,
632,6PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,5,0,0,2,0,0,,
657,7PM,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,7,0,0,2,0,0,,
682,EXTRA,10/26/2021,ID-N,,8097,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,0,0,0,0,0,0,,
371,09AM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,3,0,0,1,0,0,,
396,10AM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,3,0,0,0,0,0,,
421,11AM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,5,0,0,1,0,0,,
446,12PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,5,1,0,0,0,0,,
471,1PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,5,1,0,0,0,0,,
496,2PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,2,1,0,2,0,0,,
521,3PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,2,1,0,2,0,0,,
573,4PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,3,1,0,1,0,0,,
598,5PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,2,1,0,1,0,0,,
623,6PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,5,1,0,0,0,0,,
648,7PM,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,5,1,0,0,0,0,,
673,EXTRA,10/26/2021,ID-N,,8098,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,0,0,0,0,0,0,,
95,09AM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,1,0,0,2,0,0,,
118,10AM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,1,0,0,2,0,0,,
141,11AM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,1,0,0,3,0,0,,
164,12PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,2,0,0,2,0,0,,
187,1PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,2,0,0,1,1,0,,
210,2PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,0,0,0,1,0,0,,
233,3PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,2,0,0,0,1,0,,
256,4PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,0,0,0,0,0,0,,
306,5PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,1,0,0,0,0,0,,
329,6PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,1,0,0,0,0,0,,
352,7PM,10/26/2021,ID-S,,8101,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,1,0,0,0,0,0,,
103,09AM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,5,0,0,1,1,0,,
126,10AM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,4,0,0,1,1,0,,
149,11AM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,6,0,0,1,1,0,,
172,12PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,3,0,0,1,1,0,,
195,1PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,4,0,0,2,1,0,,
218,2PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,7,0,0,1,1,0,,
241,3PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,7,0,0,1,1,0,,
264,4PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,3,0,0,1,1,0,,
314,5PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,6,0,0,0,1,0,,
337,6PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,4,0,0,0,0,0,,
360,7PM,10/26/2021,ID-S,,8102,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,E,2,0,0,0,0,0,,
7,09AM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,4,0,0,,
272,10AM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,2,0,0,2,0,0,,
543,11AM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,0,0,1,0,0,,
695,12PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,1,0,1,0,0,,
722,1PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,6,0,0,0,0,0,,
749,2PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,0,0,2,0,0,,
776,3PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,7,0,0,2,0,0,,
803,4PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,6,0,0,3,0,0,,
830,5PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,4,0,0,3,0,0,,
34,6PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,6,0,0,2,0,0,,
61,7PM,10/26/2021,ID-Mid,,8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,7,0,0,2,0,0,,
10,09AM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,0,0,0,0,0,,https://idax.blob.core.windows.net/images/90627a7a-85f6-4c37-9267-445097737ed9-mobile.jpg
275,10AM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,0,0,2,0,0,,
546,11AM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,2,0,3,0,0,,
698,12PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,4,0,3,0,0,,
725,1PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,1,1,0,3,0,0,,
752,2PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,1,0,3,0,0,,
779,3PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,3,0,1,0,0,,
806,4PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,2,0,2,0,0,,
833,5PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,3,4,0,1,0,0,,
37,6PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,3,2,0,2,0,0,,
64,7PM,10/26/2021,ID-Mid,,8302,7TH AVE S BETWEEN S KING ST AND S WELLER ST,E,2,3,0,2,0,0,,
85,09AM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,1,0,0,2,0,0,,
108,10AM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,1,0,0,,
131,11AM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,1,0,0,6,0,0,,
154,12PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,3,0,0,5,0,0,,
177,1PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,4,0,0,1,0,0,,
200,2PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,7,0,0,,
223,3PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,5,0,0,,
246,4PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,0,0,0,,
296,5PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,0,0,0,5,0,0,,
319,6PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,2,0,0,4,0,0,,
342,7PM,10/26/2021,ID-S,,8305,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,5,2,0,3,0,0,,
86,09AM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,2,0,0,1,0,0,,
109,10AM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,1,0,0,,
132,11AM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,2,0,0,,
155,12PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,2,0,0,,
178,1PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
201,2PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
224,3PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
247,4PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,1,0,0,,
297,5PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,0,0,0,,
320,6PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,5,0,0,1,0,0,,
343,7PM,10/26/2021,ID-S,,8306,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,E,3,0,0,3,0,0,,
24,09AM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,1,0,0,0,0,,https://idax.blob.core.windows.net/images/5b3c48d6-e6ab-4ac3-bcea-0e315eedca38-mobile.jpg
289,10AM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,1,0,1,0,0,,
560,11AM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,2,0,0,0,0,0,,
712,12PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,3,1,0,0,0,0,,
739,1PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,3,0,0,0,0,0,,
766,2PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,1,0,0,,
793,3PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,1,1,0,,
820,4PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,1,1,0,,
847,5PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,1,1,0,,
51,6PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,1,0,0,1,1,0,,
78,7PM,10/26/2021,ID-Mid,,8541,8TH AVE S BETWEEN S KING ST AND S WELLER ST,W,2,0,0,1,0,0,,
