,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Notes,Picture
22,900,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,2,0,0,0,0,,
47,1800,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,5,0,0,0,0,,
72,1900,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,6,0,0,0,0,,
97,2000,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,6,0,0,0,0,,
122,2100,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,5,0,0,0,0,,
261,1000,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,3,0,0,0,0,,
473,1100,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,4,0,0,0,0,,
678,1200,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,5,0,0,0,0,,
903,1300,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,5,0,0,0,0,,
1156,1400,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,5,0,0,0,0,,
1325,1500,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,3,0,0,0,0,,
1350,1600,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,2,0,0,0,0,,
1375,1700,30-09-2021,PPSouth,21,1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,5,0,0,0,0,,
979,900,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,,
1003,1000,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,3,1,0,0,0,,
1027,1100,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,4,0,0,0,0,,
1051,1200,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,4,3,0,0,0,,
1075,1300,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,4,2,0,0,0,,
1099,1400,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,4,2,0,0,0,,
1123,1500,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,3,3,0,0,0,,
1172,1600,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,5,2,0,0,0,,
1196,1700,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,4,2,0,0,0,,
