,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
440,09AM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,1,0,0,,
465,10AM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,1,0,1,0,0,,
514,11AM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,1,0,0,,
539,12PM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,1,0,0,,
564,1PM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,1,0,0,,
589,2PM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,1,0,0,,
614,3PM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,1,0,0,,
639,4PM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,5,0,0,0,0,0,,
664,5PM,10/27/2021,Pioneer1N,NO RPZ,1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,6,0,0,0,0,0,,
433,09AM,10/27/2021,Pioneer1N,NO RPZ,1002,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,2,0,0,1,0,0,,
458,10AM,10/27/2021,Pioneer1N,NO RPZ,1002,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,4,0,0,2,0,0,,
507,11AM,10/27/2021,Pioneer1N,NO RPZ,1002,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,7,0,0,2,0,0,,
532,12PM,10/27/2021,Pioneer1N,NO RPZ,1002,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,5,0,0,2,0,0,,
557,1PM,10/27/2021,Pioneer1N,NO RPZ,1002,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,6,0,0,1,0,0,,
