,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
257,09AM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,no cars, road temporary moved and lot fenced off 
298,10AM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,no cars, road temporary moved and lot fenced off 
315,11AM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,no cars, road temporary moved and lot fenced off 
332,12PM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,no cars, road temporary moved and lot fenced off 
349,1PM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,no cars, road temporary moved and lot fenced off 
366,2PM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,4,0,0,0,0,0,,
383,3PM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,,
400,4PM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,,
417,5PM,10/27/2021,Pioneer4S,NO RPZ,1222,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,E,0,0,0,0,0,0,,
14,09AM,10/27/2021,Pioneer2JM,NO RPZ,2986,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,NE,4,0,0,1,0,0,2 paid are fire department cars,
