,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
4,09AM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,3,0,0,0,0,0,,
43,10AM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,4,0,0,0,0,0,,
56,11AM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,3,1,0,0,0,0,,
69,12PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,2,0,0,0,0,0,,
82,1PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,4,0,0,0,0,0,,
95,2PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,2,0,0,0,0,0,,
108,3PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,5,0,0,1,0,1,,
121,4PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,3,0,0,0,0,0,,
134,5PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,3,1,0,0,0,0,,
17,6PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,5,0,0,0,0,0,,
30,7PM,10/25/2021,Roos,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,5,0,0,0,0,0,,
9,09AM,10/25/2021,Roos,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,0,0,0,0,0,,
48,10AM,10/25/2021,Roos,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,1,0,0,0,0,0,,
61,11AM,10/25/2021,Roos,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,0,0,0,0,0,,
