,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
4,08AM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,1,0,0,0,0,0,,
56,09AM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,4,0,0,1,0,0,,
69,10AM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,2,0,0,0,0,0,,
82,11AM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,5,1,0,0,0,0,,
95,12PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,3,0,0,0,0,0,,
108,1PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,3,0,0,0,0,0,,
121,2PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,1,1,0,0,0,0,,
134,3PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,1,0,0,0,0,0,,
147,4PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,2,1,0,0,0,0,,
17,5PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,1,1,0,0,0,0,,
30,6PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,1,1,0,0,0,0,,
43,7PM,4/19/2022,Roosevelt,NO RPZ,1617,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,W,2,0,0,0,0,0,,
9,08AM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,1,0,0,0,0,oversized vehicle,https://idax.blob.core.windows.net/images/7a34ade8-67e9-416c-91fd-45e852a8778e-mobile.jpg
61,09AM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,1,0,0,0,0,,
74,10AM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,1,0,0,0,0,,https://idax.blob.core.windows.net/images/6d0d9926-5947-47d4-8059-f5544c9fbba0-mobile.jpg
87,11AM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,0,0,0,0,0,,
100,12PM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,1,0,0,0,0,,
113,1PM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,0,1,0,0,0,0,,
126,2PM,4/19/2022,Roosevelt,NO RPZ,1618,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,E,2,1,0,0,0,0,,
