,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
225,08AM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,6,0,0,0,0,0,,
246,09AM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,7,0,0,0,0,0,,
267,10AM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,7,0,0,0,0,0,,
288,11AM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,6,0,0,0,0,0,,
309,12PM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,6,0,0,0,1,0,,
330,1PM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,7,0,0,0,0,0,,
351,2PM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,5,0,0,1,0,0,,
372,3PM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,5,0,0,0,0,0,,
393,4PM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,8,1,0,2,0,0,,
429,5PM,4/28/2022,SLUNorthW,NO RPZ,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,3,0,0,0,0,0,,
46,08AM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,9,0,0,1,0,0,,
63,09AM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,10,0,0,1,0,0,,
80,10AM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,9,0,0,1,0,0,,
97,11AM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,9,0,0,1,0,0,,
114,12PM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,9,0,0,1,0,0,,
131,1PM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,9,0,0,0,0,1,,
148,2PM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,6,0,0,0,0,1,,
165,3PM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,5,0,0,0,0,1,,
182,4PM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,3,0,0,0,0,0,,
214,5PM,4/28/2022,SLUNorthMid,NO RPZ,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,6,0,0,0,0,0,,
38,08AM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,9,0,0,0,0,0,,
55,09AM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,10,0,0,0,0,0,,
72,10AM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,11,0,0,0,0,0,,
89,11AM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,8,4,0,0,0,2,,
106,12PM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,8,4,0,0,0,1,,
123,1PM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,8,3,0,0,0,1,,
140,2PM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,7,3,0,0,0,1,,
157,3PM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,7,4,0,0,0,2,,
174,4PM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,7,4,0,0,0,2,,
206,5PM,4/28/2022,SLUNorthMid,NO RPZ,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,6,4,0,0,0,1,,
8,08AM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,8,0,0,4,0,0,,
191,09AM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,8,1,0,4,0,0,,
412,10AM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,9,1,0,3,0,0,,
448,11AM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,7,1,0,4,0,0,,
463,12PM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,8,1,0,4,0,0,,
478,1PM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,8,0,0,4,0,0,,
493,2PM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,4,0,0,3,0,0,,
508,3PM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,5,0,0,2,0,0,,
523,4PM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,2,0,0,1,0,0,,
23,5PM,4/28/2022,SLUNorthE,NO RPZ,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,3,0,0,1,0,0,,
4,08AM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,0,0,0,0,0,,
187,09AM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,0,0,0,0,0,,
408,10AM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,0,0,0,0,0,,
444,11AM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,0,0,0,0,0,,
459,12PM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,0,0,0,0,0,,
474,1PM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,6,0,0,0,0,0,,
489,2PM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,3,0,0,0,0,0,,
504,3PM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,1,0,0,0,0,0,,
519,4PM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,0,0,0,0,0,0,,
19,5PM,4/28/2022,SLUNorthE,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,0,0,0,0,0,0,,
39,08AM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,1,0,0,,
56,09AM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,1,0,0,,
73,10AM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,1,0,0,,
90,11AM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,1,0,0,,
107,12PM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,9,0,0,1,0,0,,
124,1PM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,1,0,0,,
141,2PM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,9,0,0,1,0,1,,
158,3PM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,1,0,0,0,0,0,,
175,4PM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,1,0,0,0,0,0,,
207,5PM,4/28/2022,SLUNorthMid,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,1,0,0,0,0,0,,
215,08AM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,0,0,0,0,0,,
236,09AM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,0,0,0,0,0,,
257,10AM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,0,0,0,0,0,,
278,11AM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,7,0,0,0,0,0,,
299,12PM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,7,0,0,0,0,0,,
320,1PM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,3,0,0,0,0,0,,
341,2PM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,0,0,2,0,0,,
362,3PM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,4,0,0,2,0,0,,
383,4PM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,4,0,0,1,0,0,,
419,5PM,4/28/2022,SLUNorthW,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,1,0,0,0,0,1,,https://idax.blob.core.windows.net/images/d49546e0-ce9f-40f0-86c8-bc68cc341a40-mobile.jpg
219,08AM,4/28/2022,SLUNorthW,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,2,0,0,0,1,0,,
240,09AM,4/28/2022,SLUNorthW,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,2,0,0,0,1,0,,
