,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
12,09AM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,5,0,0,5,0,0,,
265,10AM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,4,1,0,5,0,0,,
448,11AM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,3,1,0,5,0,0,,
523,12PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,3,1,0,4,0,0,,
546,1PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,8,1,0,4,0,0,,
569,2PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,4,1,0,6,0,0,,
592,3PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,3,1,0,6,0,0,,
615,4PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,4,0,0,6,0,0,,
638,5PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,1,0,0,4,0,0,,
35,6PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,5,0,0,4,0,0,,
58,7PM,11/2/2021,UDistCoreN,NO RPZ,1601,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,8,2,0,3,0,0,,
75,09AM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,3,0,0,0,0,0,,
98,10AM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,4,0,0,0,0,0,,
121,11AM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,4,0,0,0,0,0,,
144,12PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,4,0,0,0,0,0,,
167,1PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,5,0,0,0,0,0,,
190,2PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,4,1,0,0,0,0,,
213,3PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,5,0,0,0,0,0,,
236,4PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,4,0,0,1,0,0,,
282,5PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,3,0,0,0,0,0,,
305,6PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,5,0,0,1,0,0,,
328,7PM,11/2/2021,UDistCoreM,NO RPZ,2085,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,6,0,0,0,0,0,,
17,09AM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,4,0,0,1,0,0,construction zone blocking some parking ,"https://idax.blob.core.windows.net/images/3aeefc1b-69a6-4c0d-987f-a13333727da5-mobile.jpg,https://idax.blob.core.windows.net/images/db3d117d-56a6-4801-9927-ef36bf190d89-mobile.jpg"
270,10AM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,4,0,0,1,0,0,construction zone blocking some parking ,
453,11AM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,5,0,0,1,0,0,construction zone blocking some parking ,
528,12PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,4,0,0,1,0,0,construction zone blocking some parking ,
551,1PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,3,0,0,1,0,0,,
574,2PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,4,0,0,1,0,0,,
597,3PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,5,0,0,0,0,1,car parked in front of no parking sign,
620,4PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,2,0,0,0,0,0,,
643,5PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,0,0,0,0,0,0,,
40,6PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,3,0,0,0,0,0,,
63,7PM,11/2/2021,UDistCoreN,NO RPZ,9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,5,0,0,1,0,0,,
350,09AM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,0,0,0,0,0,,https://idax.blob.core.windows.net/images/9f508c46-1969-4cae-8ae5-119278291dc1-mobile.jpg
363,10AM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,0,0,0,0,0,,
376,11AM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,0,0,0,0,0,,
389,12PM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,0,0,0,0,0,,
402,1PM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,1,0,0,0,0,,
415,2PM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,1,0,0,0,0,,
428,3PM,11/2/2021,UDistCoreS,NO RPZ,13209,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,W,3,1,0,0,0,0,,
