,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
53,08AM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,22,0,0,0,0,0,,
67,09AM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,22,0,0,0,0,0,,
81,10AM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,20,0,0,1,0,0,,
95,11AM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,21,0,0,1,0,0,,
109,12PM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,23,0,0,2,0,0,,
123,1PM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,23,0,0,1,0,0,,
137,2PM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,21,0,0,3,0,0,,
151,3PM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,22,0,0,3,0,0,,
165,4PM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,15,0,0,3,0,0,,
204,5PM,8/31/2022,UDistrictEdgeN,NO RPZ,1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,16,0,0,3,0,0,,
60,08AM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,6,3,0,0,0,0,,
74,09AM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,8,3,0,0,0,0,,
88,10AM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,11,2,0,0,0,0,,
102,11AM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,12,3,0,0,0,2,,
116,12PM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,12,3,0,0,0,0,,
130,1PM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,12,2,0,0,0,0,,
144,2PM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,9,4,0,1,0,0,,
158,3PM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,11,1,0,1,0,0,,
172,4PM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,6,4,0,0,0,0,,
211,5PM,8/31/2022,UDistrictEdgeN,NO RPZ,1434,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,7,0,0,0,0,0,,
61,08AM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
75,09AM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,https://idax.blob.core.windows.net/images/c4d9e0cb-b540-494f-8610-8fd1a0fb7d41-mobile.jpg
89,10AM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
103,11AM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
117,12PM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
131,1PM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
145,2PM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
159,3PM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
173,4PM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,no parking; construction,
212,5PM,8/31/2022,UDistrictEdgeN,RPZ 10,2089,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,0,0,0,0,0,0,,
52,08AM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,19,0,0,1,0,0,,
66,09AM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,20,0,0,0,0,0,,
80,10AM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,20,0,0,0,0,0,,
94,11AM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,19,1,0,0,0,0,,
108,12PM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,19,1,0,0,0,0,,
122,1PM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,19,0,0,1,0,0,,
136,2PM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,9,0,0,1,0,0,,
150,3PM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,0,0,0,0,0,3,No Stops 3-7pm,
164,4PM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,0,0,0,0,0,4,No Stops 3-7pm,
203,5PM,8/31/2022,UDistrictEdgeN,NO RPZ,2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,0,0,0,0,0,3,No Stops 3-7pm,
0,08AM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,4,0,0,0,0,0,,
176,09AM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,3,0,0,0,0,0,,
215,10AM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,4,0,0,0,0,0,,
240,11AM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,4,0,0,0,0,0,,
265,12PM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,3,0,0,0,0,0,,
290,1PM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,4,0,0,0,0,1,,
315,2PM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,3,0,0,0,0,0,,
340,3PM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,2,0,0,0,0,0,,
365,4PM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,3,0,0,0,0,0,,
25,5PM,8/31/2022,UDistrictEdgeS,NO RPZ,16953,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,N,2,0,0,0,0,0,,
