,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Illegal,Notes,Picture
13,09AM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,6,0,0,0,0,0,,
61,10AM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,0,0,0,0,0,,
77,11AM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,0,0,0,0,3," cone blocking paid spot; 3 illegal; 1 illegal motorcycle; maybe construction lunch/shift related""",
93,12PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,0,0,0,0,2,,
109,1PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,0,0,0,0,4,,
125,2PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,0,0,0,0,1,,
141,3PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,3,0,0,0,0,1,,
157,4PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,2,0,0,0,0,0,,
173,5PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,1,0,0,0,0,0,,
29,6PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,0,0,0,0,1,,
45,7PM,10/6/2021,UptownCore,RPZ 13,1045,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,0,0,0,0,0,,
14,09AM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,9,0,0,2,0,0,,
62,10AM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,11,0,0,1,0,0,,
78,11AM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,11,0,0,1,0,0,,
94,12PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,10,0,0,1,0,0,,
110,1PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,11,0,0,1,0,0,,
126,2PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,10,0,0,1,0,0,,
