,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
204,10AM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,5,0,0,1,0,0,,
446,11AM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,6,0,0,2,0,0,,
718,12PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,9,0,0,2,0,0,,
988,1PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,9,0,1,1,0,0,,
1152,2PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,9,0,0,0,0,0,,
1172,3PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,10,0,0,1,0,0,,
1192,4PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,7,0,0,0,0,0,,
1212,5PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,1,0,0,0,0,0,,
20,6PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,0,0,0,0,0,0,,
40,7PM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,1,0,0,0,0,0,,
0,9AM,11/16/2021,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,3,0,0,1,0,0,,
606,10AM,11/16/2021,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,8,1,0,0,0,0,,
632,11AM,11/16/2021,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,6,0,0,0,0,0,USPS in load,
658,12PM,11/16/2021,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,7,0,0,0,0,0,,
