,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
104,08AM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,6,0,0,1,0,0,,
124,09AM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,7,0,0,0,0,0,,
144,10AM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,6,1,0,0,0,0,,
164,11AM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,9,0,0,0,0,0,,
184,12PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,6,0,1,0,0,0,,
204,1PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,5,0,0,0,0,0,,
224,2PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,7,0,0,0,0,0,,
270,3PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,6,0,0,0,0,0,,
290,4PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,5,0,0,0,0,0,,
310,5PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,0,0,0,0,0,2,,
330,6PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,0,0,0,0,0,0,,
350,7PM,5/5/2022,UptownEdgeS,RPZ 13,1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,0,0,0,0,0,0,,
18,08AM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,7,0,0,0,0,0,,
262,09AM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,8,0,0,0,0,0,,
478,10AM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,5,0,0,0,0,0,,
702,11AM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,5,0,0,0,0,0,,
968,12PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,6,0,0,0,0,0,,
1234,1PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,6,0,0,0,0,0,,
1284,2PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,6,0,0,0,0,0,,
1310,3PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,3,0,0,1,0,0,,
1336,4PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,4,0,0,1,0,0,,
44,5PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,5,0,0,1,0,0,,
70,6PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,6,0,0,1,0,0,,
96,7PM,5/5/2022,UptownEdgeSW,RPZ 13,1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,4,0,0,1,0,0,,
4,08AM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,12,0,0,0,0,0,,
248,09AM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,10,0,0,0,0,0,,
464,10AM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,9,0,0,0,0,0,,
688,11AM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,10,0,0,0,0,0,,
954,12PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,9,1,0,0,0,0,,
1220,1PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,10,1,0,0,0,0,,
1270,2PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,6,1,0,0,0,1,,
1296,3PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,7,1,0,0,0,0,,
1322,4PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,8,0,0,0,0,0,,
30,5PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,12,1,0,0,0,0,,
56,6PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,10,0,0,0,0,0,,
82,7PM,5/5/2022,UptownEdgeSW,NO RPZ,1278,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,E,6,0,0,0,0,0,,
625,08AM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,2,1,0,1,0,0,,
649,09AM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,2,1,0,1,0,0,,https://idax.blob.core.windows.net/images/c2b8c98b-2fc7-4061-8e25-e5c973130ff5-mobile.jpg
673,10AM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,2,0,0,1,0,0,,
723,11AM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,3,1,0,1,0,0,,
747,12PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,2,0,0,1,0,0,,
771,1PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,3,0,0,1,0,0,,
795,2PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,2,0,0,1,0,0,,
819,3PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,2,0,0,1,0,0,,
843,4PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,3,0,1,2,0,0,,
867,5PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,5,0,0,2,0,0,,
891,6PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,6,0,0,1,0,0,,
915,7PM,5/5/2022,UptownEdgeW,NO RPZ,1281,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,W,6,0,0,1,0,0,,
120,08AM,5/5/2022,UptownEdgeS,NO RPZ,2793,2ND AVE N BETWEEN JOHN ST AND THOMAS ST,W,3,0,0,0,0,0,,
140,09AM,5/5/2022,UptownEdgeS,NO RPZ,2793,2ND AVE N BETWEEN JOHN ST AND THOMAS ST,W,9,0,0,1,0,0,,
160,10AM,5/5/2022,UptownEdgeS,NO RPZ,2793,2ND AVE N BETWEEN JOHN ST AND THOMAS ST,W,9,0,0,2,0,0,,
180,11AM,5/5/2022,UptownEdgeS,NO RPZ,2793,2ND AVE N BETWEEN JOHN ST AND THOMAS ST,W,9,0,0,2,0,0,,
