,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
6,09AM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,5,0,0,1,0,0,,
29,10AM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,6,0,0,1,0,0,,
52,11AM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,6,0,0,1,0,0,,
75,12AM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,6,0,0,1,0,0,,
98,1PM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
121,2PM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,8,0,0,0,0,0,,
144,3PM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
167,4PM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,1,0,0,,
190,5PM,10/14/2021,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,6,0,0,1,0,0,,
10,09AM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,0,0,1,0,0,,
33,10AM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,0,0,1,0,0,,"https://idax.blob.core.windows.net/images/a3b99055-0cc9-4bc4-9433-0b409504e9fd-mobile.jpg,https://idax.blob.core.windows.net/images/be3b72a7-8113-45e4-a609-71a3167dc04c-mobile.jpg"
56,11AM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,2,0,1,0,0,,
79,12AM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,1,0,1,0,0,,
102,1PM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,2,0,0,0,0,,
125,2PM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,2,1,0,0,0,0,,
148,3PM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,2,0,0,0,0,,
171,4PM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,2,0,0,0,0,0,,
194,5PM,10/14/2021,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,2,2,0,0,0,0,,
13,09AM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,12,0,0,0,0,0,,
36,10AM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,17,0,0,0,0,0,,
59,11AM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,16,0,0,0,0,0,,
82,12AM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,16,0,0,0,0,0,,
105,1PM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,16,0,0,0,0,0,,
128,2PM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,17,0,0,0,0,0,,
151,3PM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,16,0,0,0,0,0,,
174,4PM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,14,0,0,0,0,0,,
197,5PM,10/14/2021,UptownTri,NO RPZ,13057,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,14,0,0,0,0,0,,
7,09AM,10/14/2021,UptownTri,NO RPZ,13058,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,13,0,0,0,0,0,fuel truck idling across 5+ spaces,https://idax.blob.core.windows.net/images/ad2a5d0b-5333-4d67-9f37-92e2f271546c-mobile.jpg
30,10AM,10/14/2021,UptownTri,NO RPZ,13058,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,18,0,0,0,0,0,not counted: scl truck parked idling across 3-4 spaces,https://idax.blob.core.windows.net/images/6f8e2d97-9ac8-4a4d-a37f-0abbd65e7fe1-mobile.jpg
53,11AM,10/14/2021,UptownTri,NO RPZ,13058,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,22,0,0,0,0,0,,
76,12AM,10/14/2021,UptownTri,NO RPZ,13058,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,25,0,0,0,0,0,,
99,1PM,10/14/2021,UptownTri,NO RPZ,13058,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,25,0,0,0,0,0,,
