,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
6,08AM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,5,0,0,0,0,0,,
52,09AM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
75,10AM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
98,11AM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
121,12PM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
144,1PM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
167,2PM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,6,0,0,0,0,0,,
190,3PM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,7,0,0,0,0,0,,
213,4PM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,5,0,0,0,0,0,,
29,5PM,4/19/2022,UptownTri,NO RPZ,11133,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,N,6,0,0,0,0,0,,
10,08AM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,2,0,1,0,0,,
56,09AM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,2,0,0,1,0,0,,"https://idax.blob.core.windows.net/images/662a8854-d030-4d4d-8a57-7225ae2726b3-mobile.jpg,https://idax.blob.core.windows.net/images/1ffa5d57-a357-47ee-9e8a-a0fe09c43dae-mobile.jpg"
79,10AM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,1,0,1,0,0,,
102,11AM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,1,0,1,0,0,,
125,12PM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,1,0,1,0,0,,
148,1PM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,1,0,0,0,0,,
171,2PM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,1,0,1,0,0,,
194,3PM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,0,0,1,0,0,,
217,4PM,4/19/2022,UptownTri,NO RPZ,11134,JOHN ST BETWEEN 4TH AVE N AND 5TH AVE N,S,1,0,0,0,0,0,,
