,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
11,09AM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,31,0,0,0,1,0,,
27,10AM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,31,0,0,0,0,0,,
43,11AM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,31,0,0,0,1,0,,
59,12PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,30,0,0,0,1,0,,
75,1PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,29,0,0,0,1,0,,
91,2PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,28,0,0,0,1,0,,
107,3PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,27,0,0,0,1,0,,
123,4PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,20,0,0,0,1,0,,
139,5PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13577,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,12,0,0,0,1,0,,
9,09AM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,17,0,0,0,0,0,,
25,10AM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,19,0,0,0,0,0,,
41,11AM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,19,0,0,0,0,0,,
57,12PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,20,0,0,0,0,0,,
73,1PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,20,0,0,0,0,0,,
89,2PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,20,0,0,0,0,0,,
105,3PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,19,0,0,0,0,0,,
121,4PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,18,0,0,0,0,1,,
137,5PM,10/5/2021,WestlakeNorth,Don't look for RPZ,13581,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,W,18,0,0,0,0,0,,
14,09AM,10/5/2021,WestlakeNorth,Don't look for RPZ,58845,WESTLAKE EAST RDWY AVE N BETWEEN BLAINE ST AND HOWE ST,W,13,0,0,0,0,0,,
30,10AM,10/5/2021,WestlakeNorth,Don't look for RPZ,58845,WESTLAKE EAST RDWY AVE N BETWEEN BLAINE ST AND HOWE ST,W,14,0,0,0,0,0,,
46,11AM,10/5/2021,WestlakeNorth,Don't look for RPZ,58845,WESTLAKE EAST RDWY AVE N BETWEEN BLAINE ST AND HOWE ST,W,19,0,0,0,0,0,,
62,12PM,10/5/2021,WestlakeNorth,Don't look for RPZ,58845,WESTLAKE EAST RDWY AVE N BETWEEN BLAINE ST AND HOWE ST,W,16,0,0,0,0,0,,
78,1PM,10/5/2021,WestlakeNorth,Don't look for RPZ,58845,WESTLAKE EAST RDWY AVE N BETWEEN BLAINE ST AND HOWE ST,W,20,0,0,0,0,0,,
