,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1ST AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N
2022-03-21 08:00:00,0.286,0.0,0.083,0.0,1.263,0.25,0.0,0.583,0.083,0.167,0.385,0.75
2022-03-21 08:01:00,0.286,0.0,0.083,0.0,1.263,0.25,0.0,0.583,0.083,0.167,0.385,0.75
2022-03-21 08:02:00,0.321,0.143,0.083,0.0,1.316,0.25,0.0,0.583,0.083,0.167,0.615,0.833
2022-03-21 08:03:00,0.321,0.143,0.083,0.0,1.316,0.25,0.0,0.583,0.083,0.167,0.692,0.833
2022-03-21 08:04:00,0.321,0.143,0.083,0.0,1.316,0.25,0.0,0.583,0.083,0.167,0.692,0.917
2022-03-21 08:05:00,0.321,0.143,0.083,0.0,1.368,0.25,0.0,0.583,0.083,0.167,0.769,0.917
2022-03-21 08:06:00,0.321,0.143,0.083,0.0,1.368,0.25,0.0,0.583,0.083,0.167,0.769,0.917
2022-03-21 08:07:00,0.357,0.143,0.083,0.0,1.368,0.25,0.0,0.583,0.083,0.208,0.769,0.917
2022-03-21 08:08:00,0.357,0.143,0.083,0.0,1.368,0.25,0.0,0.583,0.083,0.25,0.769,0.917
2022-03-21 08:09:00,0.357,0.143,0.083,0.0,1.421,0.25,0.0,0.583,0.083,0.25,0.846,0.917
2022-03-21 08:10:00,0.393,0.143,0.083,0.0,1.421,0.25,0.0,0.583,0.083,0.25,0.846,0.917
2022-03-21 08:11:00,0.393,0.143,0.083,0.0,1.421,0.25,0.0,0.583,0.083,0.25,0.923,0.917
2022-03-21 08:12:00,0.393,0.143,0.083,0.0,1.421,0.25,0.0,0.583,0.083,0.25,1.0,0.917
2022-03-21 08:13:00,0.393,0.143,0.083,0.0,1.474,0.25,0.0,0.583,0.083,0.25,1.0,0.917
2022-03-21 08:14:00,0.393,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.25,1.0,0.917
2022-03-21 08:15:00,0.393,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.25,1.077,0.917
2022-03-21 08:16:00,0.393,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.25,1.077,0.917
2022-03-21 08:17:00,0.429,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.292,1.077,0.917
2022-03-21 08:18:00,0.429,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.333,1.077,0.917
2022-03-21 08:19:00,0.429,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.333,1.077,0.917
2022-03-21 08:20:00,0.429,0.143,0.167,0.0,1.474,0.25,0.0,0.667,0.083,0.333,1.077,0.917
2022-03-21 08:21:00,0.429,0.143,0.167,0.125,1.474,0.25,0.0,0.667,0.083,0.333,1.077,0.917
2022-03-21 08:22:00,0.429,0.143,0.167,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:23:00,0.429,0.143,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:24:00,0.429,0.143,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:25:00,0.429,0.143,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:26:00,0.464,0.286,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:27:00,0.464,0.286,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:28:00,0.5,0.286,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:29:00,0.5,0.286,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:30:00,0.5,0.286,0.25,0.125,1.474,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:31:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:32:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.667,0.083,0.375,1.077,0.917
2022-03-21 08:33:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.375,1.077,0.917
2022-03-21 08:34:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.375,1.077,0.917
2022-03-21 08:35:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,0.917
2022-03-21 08:36:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,0.917
2022-03-21 08:37:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,0.917
2022-03-21 08:38:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,1.0
2022-03-21 08:39:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,1.0
2022-03-21 08:40:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,1.0
2022-03-21 08:41:00,0.5,0.286,0.167,0.125,1.421,0.25,0.0,0.75,0.083,0.417,1.077,1.0
2022-03-21 08:42:00,0.5,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.417,1.077,1.0
2022-03-21 08:43:00,0.5,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.375,1.077,1.0
2022-03-21 08:44:00,0.5,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.375,1.077,1.0
2022-03-21 08:45:00,0.5,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.375,1.077,1.0
2022-03-21 08:46:00,0.5,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.375,1.077,1.0
2022-03-21 08:47:00,0.5,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.375,1.077,1.0
2022-03-21 08:48:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.75,0.083,0.375,1.077,1.0
2022-03-21 08:49:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.375,1.077,1.0
2022-03-21 08:50:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:51:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:52:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:53:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:54:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:55:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
