sourceelementkey,date,hour,paidoccupancy
1013,2022-04-29,8,0.5
1013,2022-04-29,9,0.0
1013,2022-04-29,10,0.25
1013,2022-04-29,11,0.0
1013,2022-04-29,12,0.25
1013,2022-04-29,13,0.25
1013,2022-04-29,14,0.75
1013,2022-04-29,15,1.0
1013,2022-04-29,16,1.25
1013,2022-04-29,17,1.0
1013,2022-04-29,18,1.25
1013,2022-04-29,19,1.0
1013,2022-08-22,8,0.75
1013,2022-08-22,9,0.75
1013,2022-08-22,10,1.0
1013,2022-08-22,11,1.0
1013,2022-08-22,12,1.0
1013,2022-08-22,13,1.0
1013,2022-08-22,14,0.75
1013,2022-08-22,15,0.75
1013,2022-08-22,16,0.5
1013,2022-08-22,17,0.5
1013,2022-08-22,18,0.5
1013,2022-08-22,19,0.75
1021,2022-05-03,8,0.4444444444444444
1021,2022-05-03,9,0.7777777777777778
1021,2022-05-03,10,0.7777777777777778
1021,2022-05-03,11,0.6666666666666666
1021,2022-05-03,12,0.6666666666666666
1021,2022-05-03,13,0.7777777777777778
1021,2022-05-03,14,0.6666666666666666
1021,2022-05-03,15,0.7777777777777778
1021,2022-05-03,16,0.8888888888888888
1021,2022-05-03,17,0.8888888888888888
1021,2022-05-03,18,0.8888888888888888
1021,2022-05-03,19,0.6666666666666666
1022,2022-05-03,8,0.1111111111111111
1022,2022-05-03,9,0.3333333333333333
1022,2022-05-03,10,0.4444444444444444
1022,2022-05-03,11,0.5555555555555556
1022,2022-05-03,12,0.7777777777777778
1022,2022-05-03,13,1.0
1022,2022-05-03,14,0.8888888888888888
1022,2022-05-03,15,0.6666666666666666
1022,2022-05-03,16,0.5555555555555556
1022,2022-05-03,17,0.8888888888888888
1022,2022-05-03,18,0.8888888888888888
1022,2022-05-03,19,0.6666666666666666
1037,2022-05-05,8,0.5
1037,2022-05-05,9,0.5833333333333334
1037,2022-05-05,10,0.5
1037,2022-05-05,11,0.75
1037,2022-05-05,12,0.5
1037,2022-05-05,13,0.4166666666666667
1037,2022-05-05,14,0.5833333333333334
1037,2022-05-05,15,0.5
1037,2022-05-05,16,0.4166666666666667
1037,2022-05-05,17,0.0
1037,2022-05-05,18,0.0
1037,2022-05-05,19,0.0
1277,2022-05-05,8,0.7777777777777778
1277,2022-05-05,9,0.8888888888888888
1277,2022-05-05,10,0.5555555555555556
1277,2022-05-05,11,0.5555555555555556
1277,2022-05-05,12,0.6666666666666666
1277,2022-05-05,13,0.6666666666666666
1277,2022-05-05,14,0.6666666666666666
1277,2022-05-05,15,0.3333333333333333
1277,2022-05-05,16,0.4444444444444444
1277,2022-05-05,17,0.5555555555555556
1277,2022-05-05,18,0.6666666666666666
1277,2022-05-05,19,0.4444444444444444
1278,2022-05-05,8,1.0909090909090908
1278,2022-05-05,9,0.9090909090909091
1278,2022-05-05,10,0.8181818181818182
1278,2022-05-05,11,0.9090909090909091
1278,2022-05-05,12,0.8181818181818182
1278,2022-05-05,13,0.9090909090909091
1278,2022-05-05,14,0.5454545454545454
1278,2022-05-05,15,0.6363636363636364
1278,2022-05-05,16,0.7272727272727273
1278,2022-05-05,17,1.0909090909090908
1278,2022-05-05,18,0.9090909090909091
1278,2022-05-05,19,0.5454545454545454
1281,2022-05-05,8,0.5
1281,2022-05-05,9,0.5
1281,2022-05-05,10,0.5
1281,2022-05-05,11,0.75
1281,2022-05-05,12,0.5
1281,2022-05-05,13,0.75
1281,2022-05-05,14,0.5
1281,2022-05-05,15,0.5
1281,2022-05-05,16,0.75
